CAS-RN,SMILES,train/test,LC50,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP
104-13-2,CCCCc1ccc(cc1)N,train,4.165,3.532,0.134,1.11,0,0,2.813
104-40-5,CCCCCCCCCc1ccc(cc1)O,train,5.896,4.216,0.223,1.248,0,0,5.089
104-51-8,CCCCc1ccccc1,train,4.829,3.605,0,1.15,0,0,3.562
104-55-2,O=CC=Cc1ccccc1,train,4.590,2.918,0.223,0.944,3,0,2.066
104-67-6,CCCCCCCC1CCC(=O)O1,test,2.092,3.833,0.405,1.522,0,1,3.492
104-76-7,CCCCC(CO)CC,train,3.665,3.669,0.223,1.599,0,0,2.274
104-87-0,O=Cc1ccc(cc1)C,train,3.560,2.824,0.223,1,1,0,2.102
104-88-1,O=Cc1ccc(cc1)Cl,train,4.805,2.233,0.64,0.92,1,0,2.37
104-90-5,CCc1ccc(nc1)C,train,3.174,3.103,0.134,1.344,0,0,1.533
10453-86-8,CC(=CC1C(C1(C)C)C(=O)OCc1coc(c1)Cc1ccccc1)C,train,7.899,4.413,0.56,1.17,1,2,3.906
105-14-6,CCN(CCCC(=O)C)CC,train,2.670,3.641,0.331,1.933,0,1,1.565
105-53-3,CCOC(=O)CC(=O)OCC,train,4.016,3.073,0.693,1.851,0,2,0.787
105-67-9,Cc1ccc(c(c1)C)O,train,3.857,3.012,0.223,1.023,0,0,2.193
105-75-9,CCCCOC(=O)C=CC(=O)OCCCC,test,5.522,3.818,0.693,1.627,2,2,2.217
105-99-7,CCCCOC(=O)CCCCC(=O)OCCCC,train,4.851,4.171,0.693,1.678,0,2,2.849
106-23-0,O=CCC(CCC=C(C)C)C,train,3.840,3.734,0.223,1.45,2,1,2.642
106-24-1,OCC=C(CCC=C(C)C)C,train,4.586,3.734,0.223,1.374,2,2,2.642
106-37-6,Brc1ccc(cc1)Br,train,5.284,2.126,0.977,0.771,0,0,3.795
106-40-1,Nc1ccc(cc1)Br,train,3.559,2.216,0.679,0.764,0,0,2.296
106-42-3,Cc1ccc(cc1)C,test,4.091,3.179,0,1.063,0,0,2.942
106-43-4,Cc1ccc(cc1)Cl,test,4.330,2.62,0.499,0.99,0,0,3.21
106-44-5,Cc1ccc(cc1)O,train,3.755,2.728,0.223,0.953,0,0,1.859
106-46-7,Clc1ccc(cc1)Cl,train,4.552,2.126,0.83,0.899,0,0,3.478
106-47-8,Nc1ccc(cc1)Cl,train,3.620,2.216,0.582,0.839,0,0,2.127
106-48-9,Oc1ccc(cc1)Cl,train,4.459,2.086,0.64,0.838,0,0,2.127
106-49-0,Cc1ccc(cc1)N,train,2.827,2.834,0.134,0.95,0,0,1.859
106-51-4,O=C1C=CC(=O)C=C1,train,6.380,2.126,0.405,0.917,4,2,0.411
106-63-8,C=CC(=O)OCC(C)C,train,4.786,3.08,0.405,1.609,1,1,1.619
106-89-8,ClCC1CO1,train,3.861,1.636,0.64,1.695,0,0,0.408
106-94-5,CCCBr,train,3.262,2.219,0.604,1.537,0,0,2.026
107-02-8,C=CC=O,test,6.297,1.594,0.223,1.333,2,0,0.094
107-05-1,ClCC=C,train,3.546,1.818,0.499,1.468,1,0,1.672
107-06-2,ClCCCl,train,2.920,1.5,0.83,1.891,0,0,1.817
107-07-3,OCCCl,train,3.203,1.512,0.64,1.844,0,0,0.347
107-10-8,CCCN,train,2.283,2.56,0.134,1.758,0,0,0.347
107-12-0,CCC#N,train,1.559,1.818,0.134,1.445,0,0,0.202
107-13-1,C=CC#N,train,3.470,1.359,0.134,1.13,1,0,0.094
107-14-2,ClCC#N,train,4.748,0.667,0.582,1.361,0,0,0.202
107-15-3,NCCN,train,2.576,2.333,0.251,1.946,0,0,-1.053
107-18-6,OCC=C,train,5.259,2.026,0.223,1.429,1,0,0.202
107-19-7,OCC#C,train,4.564,1.594,0.223,1.068,0,0,0.202
107-20-0,ClCC=O,test,4.370,0.965,0.64,1.695,1,0,0.202
107-21-1,OCCO,train,0.053,1.951,0.405,1.878,0,0,-1.053
107-22-2,O=CC=O,test,2.381,1,0.405,1.5,2,0,-1.306
107-29-9,CC=NO,train,2.891,1.512,0.331,1.627,1,0,-0.386
107-41-5,CC(CC(O)(C)C)O,train,1.088,3.219,0.405,1.605,0,0,0.706
107-45-9,CC(CC(N)(C)C)(C)C,train,3.721,3.74,0.134,1.581,0,0,2.274
107-47-1,CC(SC(C)(C)C)(C)C,train,3.701,3.669,0.486,1.374,0,0,3.291
107-49-3,CCOP(=O)(OP(=O)(OCC)OCC)OCC,train,6.083,3.57,1.374,2.259,0,0,2.05
107-64-2,CCCCCCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCCCCCC)(C)C,train,4.628,5.926,0.134,1.671,0,0,6.203
107-75-5,O=CCC(CCCC(O)(C)C)C,train,3.700,3.802,0.405,1.527,1,0,1.869
107-87-9,CCCC(=O)C,train,1.842,2.802,0.223,1.6,0,1,1.064
1071-83-6,OC(=O)CNCP(=O)(O)O,train,3.396,2.242,1.096,1.907,0,1,-1.96
1072-97-5,Nc1ccc(cn1)Br,test,2.990,1.94,0.749,1.066,0,0,1.492
108-05-4,CC(=O)OC=C,train,3.573,2.126,0.405,1.69,1,1,0.479
108-10-1,CC(CC(=O)C)C,test,2.271,3.08,0.223,1.583,0,1,1.442
108-20-3,CC(OC(C)C)C,train,2.085,3.277,0.223,1.869,0,0,1.587
108-38-3,Cc1cccc(c1)C,train,3.822,3.179,0,1.063,0,0,2.942
108-39-4,Cc1cccc(c1)O,train,3.290,2.728,0.223,0.953,0,0,1.859
108-41-8,Cc1cccc(c1)Cl,train,3.840,2.62,0.499,0.99,0,0,3.21
108-42-9,Nc1cccc(c1)Cl,train,3.979,2.216,0.582,0.839,0,0,2.127
108-44-1,Cc1cccc(c1)N,train,3.470,2.834,0.134,0.95,0,0,1.859
108-46-3,Oc1cccc(c1)O,test,3.314,2.359,0.405,0.814,0,0,0.893
108-59-8,COC(=O)CC(=O)OC,train,4.031,2.565,0.693,1.987,0,2,0.057
108-70-3,Clc1cc(Cl)cc(c1)Cl,train,4.740,2.085,1.079,0.895,0,0,4.063
108-86-1,Brc1ccccc1,train,4.194,2.26,0.604,0.836,0,0,3.045
108-88-3,Cc1ccccc1,test,3.447,2.91,0,1,0,0,2.608
108-89-4,Cc1ccncc1,train,2.364,2.512,0.134,1.293,0,0,0.846
108-90-7,Clc1ccccc1,train,3.645,2.26,0.499,0.907,0,0,2.876
108-93-0,OC1CCCCC1,train,2.070,3.08,0.223,1.385,0,0,1.195
108-94-1,O=C1CCCCC1,train,2.270,2.866,0.223,1.333,0,1,1.05
108-95-2,Oc1ccccc1,train,3.513,2.386,0.223,0.857,0,0,1.506
108-99-6,Cc1cccnc1,test,2.811,2.512,0.134,1.293,0,0,0.846
1080-32-6,CCOP(=O)(Cc1ccccc1)OCC,train,2.832,3.509,0.854,1.478,0,0,2.248
109-01-3,CN1CCNCC1,train,1.639,2.98,0.251,2.261,0,0,-0.063
109-06-8,Cc1ccccn1,test,2.016,2.512,0.134,1.293,0,0,0.846
109-07-9,CC1CNCCN1,train,1.651,2.98,0.251,1.959,0,0,-0.063
109-21-7,CCCCOC(=O)CCC,train,4.097,3.462,0.405,1.717,0,1,2.06
109-52-4,CCCCC(=O)O,train,3.123,2.755,0.405,1.559,0,1,0.996
109-60-4,CCCOC(=O)C,train,3.231,2.755,0.405,1.844,0,1,0.996
109-64-8,BrCCCBr,train,5.052,2.024,0.977,1.328,0,0,2.604
109-65-9,CCCCBr,test,3.572,2.609,0.604,1.529,0,0,2.419
109-73-9,CCCCN,train,2.436,2.878,0.134,1.684,0,0,0.8
109-75-1,C=CCC#N,train,2.567,1.961,0.134,1.215,1,0,0.548
109-76-2,NCCCN,train,1.795,2.665,0.251,1.762,0,0,-0.534
109-77-3,N#CCC#N,train,5.072,1.251,0.251,1.126,0,0,-0.786
109-85-3,COCCN,test,2.156,2.377,0.331,2.111,0,0,-0.534
109-87-5,COCOC,train,1.037,2.366,0.405,2.606,0,0,-0.128
109-89-7,CCNCC,train,1.932,2.878,0.134,2.102,0,0,0.8
109-97-7,c1ccc[nH]1,test,2.505,1.961,0.134,1.27,0,0,0.156
109-99-9,C1CCCO1,train,1.524,2.462,0.223,1.669,0,0,0.408
110-00-9,c1ccco1,train,3.048,1.778,0.223,1.203,0,0,0.156
110-06-5,CC(SSC(C)(C)C)(C)C,train,5.115,3.609,0.811,1.189,0,0,3.291
110-12-3,CC(CCC(=O)C)C,train,2.856,3.316,0.223,1.571,0,1,1.795
110-16-7,OC(=O)C=CC(=O)O,train,4.366,2,0.693,1.128,2,2,-0.45
110-40-7,CCOC(=O)CCCCCCCCC(=O)OCC,train,4.976,4.171,0.693,1.678,0,2,2.849
110-43-0,CCCCCC(=O)C,train,2.940,3.316,0.223,1.571,0,1,1.795
110-54-3,CCCCCC,train,4.538,3.441,0,1.667,0,0,3.516
110-56-5,ClCCCCCl,train,3.391,2.429,0.83,1.696,0,0,2.604
110-58-7,CCCCCN,train,2.692,3.143,0.134,1.641,0,0,1.209
110-62-3,CCCCC=O,train,3.825,2.802,0.223,1.6,1,0,1.064
110-65-6,OCC#CCO,test,3.206,2.126,0.405,1.127,0,0,-0.226
110-73-6,OCCNCC,train,1.780,2.709,0.331,2.072,0,0,-0.081
110-80-5,OCCOCC,train,0.533,2.701,0.405,2.003,0,0,-0.081
110-82-7,C1CCCCC1,train,3.299,3.252,0,1.417,0,0,3.124
110-86-1,c1cccnc1,train,2.914,2.111,0.134,1.253,0,0,0.468
110-88-3,O1COCOC1,train,1.180,2.085,0.56,2.451,0,0,-0.544
110-93-0,CC(=O)CCC=C(C)C,test,3.168,3.361,0.223,1.437,1,2,2.021
111-13-7,CCCCCCC(=O)C,train,3.446,3.52,0.223,1.562,0,1,2.129
111-15-9,CCOCCOC(=O)C,train,3.496,3.014,0.56,1.987,0,1,0.538
111-25-1,CCCCCCBr,train,4.680,3.181,0.604,1.52,0,0,3.126
111-26-2,CCCCCCN,train,3.252,3.369,0.134,1.614,0,0,1.587
111-27-3,CCCCCCO,test,2.980,3.277,0.223,1.633,0,0,1.587
111-30-8,O=CCCCC=O,train,3.936,2.507,0.405,1.5,2,0,0.076
111-31-9,CCCCCCS,train,5.470,3.277,0.486,1.416,0,0,2.604
111-42-2,OCCNCCO,train,1.842,2.67,0.496,2.047,0,0,-0.917
111-46-6,OCCOCCO,train,0.150,2.704,0.56,1.965,0,0,-0.917
111-47-7,CCCSCCC,test,3.736,3.277,0.486,1.343,0,0,2.604
111-68-2,CCCCCCCN,test,3.719,3.566,0.134,1.595,0,0,1.94
111-69-3,N#CCCCCC#N,train,1.749,2.594,0.251,1.287,0,0,0.454
111-70-6,CCCCCCCO,test,3.507,3.485,0.223,1.614,0,0,1.94
111-71-7,CCCCCCC=O,test,3.979,3.316,0.223,1.571,1,0,1.795
111-83-1,CCCCCCCCBr,train,5.363,3.596,0.604,1.515,0,0,4.673
111-86-4,CCCCCCCCN,test,4.396,3.74,0.134,1.581,0,0,3.186
111-87-5,CCCCCCCCO,train,3.984,3.669,0.223,1.599,0,0,3.186
111-90-0,OCCOCCOCC,train,1.020,3.199,0.56,2.033,0,0,-0.129
111-91-1,ClCCOCOCCCl,train,2.973,2.57,1.028,2.137,0,0,1.466
112-05-0,CCCCCCCCC(=O)O,test,3.182,3.641,0.405,1.531,0,1,3.289
112-12-9,CCCCCCCCCC(=O)C,test,5.055,4.005,0.223,1.545,0,1,3.953
112-20-9,CCCCCCCCCN,train,4.822,3.896,0.134,1.571,0,0,3.503
112-27-6,OCCOCCOCCO,train,0.330,3.201,0.693,2.004,0,0,-0.937
112-30-1,CCCCCCCCCCO,test,4.819,3.98,0.223,1.578,0,0,3.806
112-42-5,CCCCCCCCCCCO,train,5.219,4.114,0.223,1.571,0,0,4.098
112-53-8,CCCCCCCCCCCCO,test,5.268,4.237,0.223,1.565,0,0,4.379
112-80-1,CCCCCCCCC=CCCCCCCCC(=O)O,train,3.139,4.63,0.405,1.458,2,1,5.579
1122-54-9,CC(=O)c1ccncc1,train,2.858,2.456,0.331,1.259,0,1,0.496
1126-46-1,COC(=O)c1ccc(cc1)Cl,train,4.191,2.536,0.764,1.165,0,1,2.619
1126-79-0,CCCCOc1ccccc1,train,4.416,3.461,0.223,1.281,0,0,2.813
1129-35-7,COC(=O)c1ccc(cc1)C#N,test,3.537,2.641,0.496,1.077,0,1,1.697
114-26-1,CNC(=O)Oc1ccccc1OC(C)C,test,4.380,3.38,0.638,1.506,0,1,1.57
115-19-5,C#CC(O)(C)C,train,1.408,2.544,0.223,1.245,0,0,1.064
115-20-8,OCC(Cl)(Cl)Cl,train,2.936,1.279,1.16,1.714,0,0,1.209
115-29-7,O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,test,8.471,2.572,1.834,1.35,0,2,3.115
115-32-2,OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,train,5.861,3.222,1.501,0.872,0,0,5.149
115-86-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,train,5.574,3.728,0.956,1.17,0,0,4.789
115-90-2,CCOP(=S)(Oc1ccc(cc1)S(=O)C)OCC,test,3.852,3.358,1.348,1.328,0,0,1.89
116-06-3,CNC(=O)ON=CC(SC)(C)C,train,5.244,2.96,0.88,1.53,1,1,0.787
117-81-7,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,train,2.548,4.81,0.693,1.42,0,2,5.426
118-55-8,O=C(c1ccccc1O)Oc1ccccc1,train,5.276,3.311,0.56,0.927,0,1,3.461
118-61-6,CCOC(=O)c1ccccc1O,train,3.924,3.023,0.56,1.168,0,1,2.294
118-74-1,Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,train,6.379,2.585,1.586,0.917,0,0,5.207
118-79-6,Brc1cc(Br)c(c(c1)Br)O,train,4.705,1.925,1.318,0.595,0,0,3.764
118-96-7,O=N(=O)c1cc(N(=O)=O)c(c(c1)N(=O)=O)C,train,4.960,2.454,1.075,0.951,0,0,2.359
119-32-4,Nc1ccc(c(c1)N(=O)=O)C,train,3.766,2.508,0.58,0.941,0,0,1.701
119-34-6,Nc1ccc(c(c1)N(=O)=O)O,test,3.641,2.222,0.711,0.849,0,0,0.828
119-61-9,O=C(c1ccccc1)c1ccccc1,train,4.108,3.389,0.223,0.849,0,1,3.587
1194-65-6,N#Cc1c(Cl)cccc1Cl,train,4.420,2.031,0.891,0.822,0,0,2.956
1198-55-6,Oc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,train,5.290,1.965,1.408,0.709,0,0,2.736
120-07-0,OCCN(c1ccccc1)CCO,train,2.392,3.351,0.496,1.466,0,0,1.097
120-21-8,CCN(c1ccc(cc1)C=O)CC,train,3.870,3.452,0.331,1.476,1,0,2.402
120-62-7,CCCCCCCCS(=O)C(Cc1ccc2c(c1)OCO2)C,train,5.642,4.288,0.865,1.327,0,0,4.295
120-80-9,Oc1ccccc1O,train,4.287,2.359,0.405,0.814,0,0,0.893
120-82-1,Clc1ccc(c(c1)Cl)Cl,train,4.790,2.085,1.079,0.895,0,0,4.063
120-83-2,Clc1ccc(c(c1)Cl)O,train,4.296,1.962,0.934,0.819,0,0,2.729
1204-21-3,COc1ccc(c(c1)C(=O)CBr)OC,train,6.607,3.041,0.947,1.298,0,1,1.976
121-14-2,O=N(=O)c1ccc(c(c1)N(=O)=O)C,train,3.759,2.377,0.827,0.938,0,0,2.239
121-32-4,CCOc1cc(C=O)ccc1O,train,3.278,3.023,0.56,1.168,1,0,1.239
121-33-5,COc1cc(C=O)ccc1O,test,3.118,2.777,0.56,1.127,1,0,0.922
121-57-3,Nc1ccc(cc1)S(=O)(=O)O,train,3.237,2.218,0.923,1.074,0,0,0.291
121-69-7,CN(c1ccccc1)C,train,3.267,3.103,0.134,1.521,0,0,2.193
121-73-3,Clc1cccc(c1)N(=O)=O,train,3.933,1.822,0.829,0.834,0,0,2.509
121-75-5,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,test,4.486,3.459,1.47,1.483,0,2,0.491
121-82-4,O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O,test,4.305,2.442,1.211,2.254,0,0,1.401
121-87-9,O=N(=O)c1ccc(c(c1)Cl)N,train,3.927,1.945,0.889,0.835,0,0,1.969
122-03-2,O=Cc1ccc(cc1)C(C)C,train,4.350,3.315,0.223,1.1,1,0,2.723
122-14-5,COP(=S)(Oc1ccc(c(c1)C)N(=O)=O)OC,test,4.809,2.868,1.286,1.294,0,0,1.919
122-34-9,CCNc1nc(NCC)nc(n1)Cl,test,4.499,2.971,0.859,2.162,0,0,2.273
122-39-4,c1ccc(cc1)Nc1ccccc1,train,4.650,3.378,0.134,0.988,0,0,3.395
122-99-6,OCCOc1ccccc1,train,2.604,2.961,0.405,1.189,0,0,1.312
123-05-7,CCCCC(C=O)CC,train,3.629,3.52,0.223,1.562,1,0,2.129
123-07-9,CCc1ccc(cc1)O,train,4.070,3.012,0.223,1.023,0,0,2.193
123-11-5,COc1ccc(cc1)C=O,test,2.930,2.778,0.405,1.17,1,0,1.49
123-15-9,CC(C=O)CCC,train,3.727,3.08,0.223,1.583,1,0,1.442
123-25-1,CCOC(=O)CCC(=O)OCC,test,3.095,3.281,0.693,1.808,0,2,1.121
123-31-9,Oc1ccc(cc1)O,train,6.400,2.359,0.405,0.814,0,0,0.893
123-38-6,CCC=O,train,2.650,2.026,0.223,1.667,1,0,0.202
123-54-6,CC(=O)CC(=O)C,train,2.851,2.507,0.405,1.5,0,2,0.076
123-66-0,CCCCCC(=O)OCC,train,4.208,3.462,0.405,1.717,0,1,2.06
123-72-8,CCCC=O,train,3.654,2.462,0.223,1.625,1,0,0.655
123-86-4,CCCCOC(=O)C,train,3.810,3.026,0.405,1.787,0,1,1.373
123-91-1,O1CCOCC1,train,0.931,2.429,0.405,1.954,0,0,-0.473
124-04-9,OC(=O)CCCCC(=O)O,train,3.178,2.836,0.693,1.43,0,2,0.434
124-22-1,CCCCCCCCCCCCN,train,6.255,4.285,0.134,1.551,0,0,4.379
126-11-4,OCC(N(=O)=O)(CO)CO,train,2.732,2.534,0.872,1.619,0,0,-1.186
126-73-8,CCCCOP(=O)(OCCCC)OCCCC,test,4.448,4.077,0.956,1.909,0,0,3.234
126-81-8,O=C1CC(=O)CC(C1)(C)C,train,1.086,3.137,0.405,1.312,0,2,0.749
127-00-4,CC(CCl)O,train,2.586,2.034,0.64,1.727,0,0,0.8
127-06-0,ON=C(C)C,train,2.117,2.034,0.331,1.56,0,1,0.133
127-18-4,ClC(=C(Cl)Cl)Cl,train,3.955,1.667,1.278,1.5,0,2,2.459
127-65-1,ClNS(=O)(=O)c1ccc(cc1)C,train,4.278,2.283,1.07,1.223,0,0,1.112
127-66-2,C#CC(c1ccccc1)(O)C,test,3.112,3.164,0.223,0.909,0,0,2.455
12789-03-6,ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,train,6.897,3.03,1.821,1.027,0,2,5.469
128-03-0,CN(C(=S)S)C,test,6.424,2.031,0.872,1.475,0,1,0.202
128-37-0,Cc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,test,5.780,4.216,0.223,1.248,0,0,4.177
128-44-9,OC1=NS(=O)(=O)c2c1cccc2,test,1.050,2.119,0.923,1.179,0,1,0.982
129171-90-0,CCCCCCCCOC(=O)C(O)C,train,3.926,3.914,0.56,1.637,0,1,3.048
13071-79-9,CCOP(=S)(SCSC(C)(C)C)OCC,test,6.284,3.542,1.38,1.264,0,0,1.971
131-11-3,COC(=O)c1ccccc1C(=O)OC,train,3.451,3.102,0.693,1.316,0,2,2.005
13171-21-6,CCN(C(=O)C(=C(OP(=O)(OC)OC)C)Cl)CC,train,3.477,3.393,1.292,2.122,0,3,1.595
132-64-9,c1ccc2c(c1)oc1c2cccc1,train,4.967,3.191,0.223,0.847,0,0,2.859
13209-15-9,BrC(c1ccccc1C(Br)Br)Br,test,5.985,2.639,1.462,0.83,0,0,5.206
133-06-2,ClC(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl,train,6.351,2.47,1.437,1.346,2,2,1.821
133-07-3,ClC(SN1C(=O)c2c(C1=O)cccc2)(Cl)Cl,train,6.207,2.164,1.437,1.227,0,2,2.573
133-11-9,Nc1ccc(c(c1)O)C(=O)Oc1ccccc1,train,4.680,3.247,0.638,0.889,0,1,2.922
13390-47-1,CCOc1ccc(cc1)N=Nc1ccc(c(c1)S(=O)(=O)O)Sc1ccc(cc1S(=O)(=O)O)N=Nc1ccc(cc1)OCC,train,4.475,4.255,1.695,1.087,0,0,2.294
134-62-3,CCN(C(=O)c1cccc(c1)C)CC,train,3.240,3.629,0.331,1.478,0,1,2.821
13411-16-0,OCc1cccc(n1)C=Cc1ccc(o1)N(=O)=O,train,5.478,3.08,0.827,1.079,2,0,1.155
135-19-3,Oc1ccc2c(c1)cccc2,train,4.620,3.012,0.223,0.76,0,0,2.637
13608-87-2,CC(=O)c1ccc(c(c1Cl)Cl)Cl,train,5.048,2.374,1.16,0.979,0,1,3.818
137-26-8,CN(C(=S)SSC(=S)N(C)C)C,train,7.045,2.855,1.331,1.325,0,2,0.454
137-40-6,CCC(=O)O,train,1.307,2.024,0.405,1.605,0,1,0.133
138-86-3,CC1=CCC(CC1)C(=C)C,train,2.149,3.739,0,1.25,1,2,3.267
13909-73-4,COc1ccc(c(c1OC)OC)C(=O)C,train,3.025,3.426,0.693,1.488,0,1,1.294
13952-84-6,CCC(N)C,train,2.425,2.878,0.134,1.684,0,0,0.8
1397-94-0,CCCCCCC1C(=O)OC(C)C(C(=O)OC(C1OC(=O)CC(C)C)C)NC(=O)c1cccc(c1O)NC=O,train,9.612,4.785,1.263,1.471,1,4,2.749
140-31-8,NCCN1CCNCC1,train,1.771,3.286,0.357,2.104,0,0,-0.521
140-88-5,CCOC(=O)C=C,train,4.603,2.507,0.405,1.652,1,1,0.888
14064-10-9,CCOC(=O)C(C(=O)OCC)Cl,train,5.311,2.857,0.973,1.838,0,2,1.121
141-03-7,CCCCOC(=O)CCC(=O)OCCCC,train,4.713,3.924,0.693,1.707,0,2,2.314
141-27-5,O=CC=C(CCC=C(C)C)C,test,4.320,3.601,0.223,1.35,3,2,2.545
141-28-6,CCOC(=O)CCCCC(=O)OCC,train,4.051,3.634,0.693,1.747,0,2,1.742
141-43-5,NCCO,test,1.470,1.968,0.331,1.891,0,0,-1.053
141-78-6,CCOC(=O)C,train,2.583,2.429,0.405,1.927,0,1,0.586
141-91-3,CC1CNCC(O1)C,train,2.474,3.029,0.331,1.847,0,0,0.314
141-93-5,CCc1cccc(c1)CC,train,4.510,3.605,0,1.15,0,0,3.562
142-28-9,ClCCCCl,test,3.007,2.024,0.83,1.761,0,0,2.226
142-62-1,CCCCCC(=O)O,train,2.840,3.026,0.405,1.548,0,1,1.373
142-92-7,CCCCCCOC(=O)C,train,4.557,3.462,0.405,1.717,0,1,2.06
142-96-1,CCCCOCCCC,train,3.604,3.669,0.223,1.778,0,0,2.274
1420-04-8,Clc1ccc(c(c1)C(=O)Nc1ccc(cc1Cl)N(=O)=O)O,test,6.564,2.9,1.275,0.913,0,1,3.574
143-08-8,CCCCCCCCCO,train,4.410,3.832,0.223,1.587,0,0,3.503
143-16-8,CCCCCCNCCCCCC,train,5.380,4.285,0.134,1.71,0,0,3.467
143-50-0,O=C1C2(Cl)C3(C4(C1(Cl)C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,train,6.113,3.164,2.044,0.83,0,1,4.912
14321-27-8,CCNCc1ccccc1,train,3.374,3.332,0.134,1.294,0,0,2.242
14338-32-0,Clc1cccc[n+]1C,train,3.109,2.344,0.582,1.59,0,0,1.467
1445-75-6,CC(OP(=O)(OC(C)C)C)C,train,2.451,3.353,0.854,1.944,0,0,1.297
145-73-3,OC(=O)C1C2CCC(C1C(=O)O)O2,train,5.395,2.993,0.811,1.232,0,2,-0.059
