Name	ISIZ	IAC	AAC	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	RDSUM	Har	QW	TI1	TI2	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	IDE	IDM	IDDE	IDDM	IDET	IDMT	IVDE	IVDM	HVcpx	HDcpx	Uindex	Vindex	Xindex	Yindex	IC0	TIC0	SIC0	CIC0	BIC0	IC1	TIC1	SIC1	CIC1	BIC1	IC2	TIC2	SIC2	CIC2	BIC2	IC3	TIC3	SIC3	CIC3	BIC3	IC4	TIC4	SIC4	CIC4	BIC4	IC5	TIC5	SIC5	CIC5	BIC5	LP1	STN	Eig1Z	Eig1m	Eig1v	Eig1e	Eig1p	SEigZ	SEigm	SEigv	SEige	SEigp	AEigZ	AEigm	AEigv	AEige	AEigp	VEA1	VEA2	VRA1	VRA2	VED1	VED2	VRD1	VRD2	VEZ1	VEZ2	VRZ1	VRZ2	VEm1	VEm2	VRm1	VRm2	VEv1	VEv2	VRv1	VRv2	VEe1	VEe2	VRe1	VRe2	VEp1	VEp2	VRp1	VRp2	NGS	MPC03	MPC04	MPC05	MPC06	MPC07	MPC08	MPC09	MPC10	piPC03	piPC04	piPC05	piPC06	piPC07	piPC08	piPC09	piPC10	TPC	piID	PCR	PCD	CID	BID	D/Dr03	D/Dr04	D/Dr05	D/Dr06	D/Dr07	D/Dr08	D/Dr09	D/Dr10	D/Dr11	D/Dr12	T(N..N)	T(N..O)	T(N..S)	T(N..P)	T(N..F)	T(N..Cl)	T(N..Br)	T(N..I)	T(O..O)	T(O..S)	T(O..P)	T(O..F)	T(O..Cl)	T(O..Br)	T(O..I)	T(S..S)	T(S..P)	T(S..F)	T(S..Cl)	T(S..Br)	T(S..I)	T(P..P)	T(P..F)	T(P..Cl)	T(P..Br)	T(P..I)	T(F..F)	T(F..Cl)	T(F..Br)	T(F..I)	T(Cl..Cl)	T(Cl..Br)	T(Cl..I)	T(Br..Br)	T(Br..I)	T(I..I)	Activity	
1162-65-8	179.525	51.509	1.472	138	414	176	415	26	18.323	2.06	2.218	0	52	11	44	102.286	86.87	.196	4639	8393	5045	15854	21.364	54.093	999	3.949	90.003	47.99	623.111	86.782	1.638	1476	28.787	4087	36106	6.153	65.987	35342	732.167	732.311	988.058	732.516	1039.238	1.5	2.048	2.047	1.582	2.047	1.516	2.253	5.309	36.952	109.813	15.715	11.186	10.582	9.927	9.534	7.66	.683	.414	.252	.153	.095	.058	12.25	7.413	5.838	4.717	3.722	2.461	.533	.275	.139	.073	.037	.019	15.715	11.186	10.582	9.927	9.534	7.66	71.927	3.37	219.49	89.704	13.346	4.463	1.611	2.59	.824	.601	.385	.236	.127	.8	371	162	7.043	1.009	13.788	62	572	55	11	.777	2.257	2.916	7.8	4.263	4.499	737.741	7791.875	1.735	5.177	2.824	1.668	28.277	.24	.349	.753	1.472	51.509	.287	3.658	.265	3.093	108.241	.603	2.037	.557	4.511	157.873	.879	.619	.812	4.879	170.77	.951	.25	.878	4.879	170.77	.951	.25	.878	4.879	170.77	.951	.25	.878	2.613	8.272	65.924	65.937	90.968	65.956	96.265	1.5	1.496	-5.719	1.491	-7.167	0	0	0	0	0	4.385	.191	151.38	6.582	4.728	.206	139.711	6.074	4.724	.205	139.745	6.076	4.724	.205	139.749	6.076	4.67	.203	145.868	6.342	4.724	.205	139.753	6.076	4.657	.202	147.073	6.394	42	65	100	132	174	224	270	306	332	144	288	506.625	856.406	1383.781	2172.234	3093.891	3968.754	3412	47117.87	13.809	492.805	48.553	23.34	0	0	82.917	57.287	0	44.79	91.082	48.89	0	64.331	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
1163-19-5	104.042	27.803	1.209	122	228.672	150	250.37	18	13.876	1.586	1.828	.001	44.5	12	46	104.468	95.304	.216	4434	5025.339	4212	5088.549	21.697	7520.928	1096	4.332	84.325	43.486	880.667	32.555	3.176	1771	26.259	1912	9686	22.959	153.349	4794	643.714	639.234	1082.633	794.071	1114.302	2.187	3.574	3.593	2.151	3.048	2.068	1.047	2.686	21.143	178.641	17.635	10.59	10.155	9.88	6.563	4.599	.767	.441	.274	.19	.109	.064	26.048	13.228	11.83	14.584	7.795	4.349	1.133	.551	.32	.28	.13	.06	27.635	16.364	16.821	22.672	14.493	9.806	148.072	3.091	188.268	66.042	22.496	9.137	4.455	8.937	1.654	.622	.406	.185	.09	1	368	183	7.957	.93	13.769	68	628	55	101	.719	2.284	3.064	7.786	2.871	4.502	775.292	8533.719	1.209	4.94	2.97	1.665	44.944	.343	.512	1.023	1.209	27.803	.267	3.315	.246	1.548	35.603	.342	2.976	.315	1.97	45.313	.436	2.553	.402	2.632	60.532	.582	1.892	.536	2.871	66.042	.635	1.652	.585	2.871	66.042	.635	1.652	.585	2.485	3.584	57.29	56.89	95.561	71.198	98.096	8.536	8.746	1.819	1.718	3.035	0	0	0	0	0	4.402	.191	116.689	5.073	4.738	.206	125.636	5.462	4.759	.207	120.791	5.252	4.76	.207	120.582	5.243	4.764	.207	122.031	5.306	4.73	.206	127.033	5.523	4.771	.207	120.673	5.247	37	52	60	72	76	68	68	72	64	118.5	192.75	320.625	400.5	411.75	561.938	850.5	1082.109	716	7404.516	10.342	75.416	45.027	23.279	0	0	0	154.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	
1165-39-5	186.117	53.959	1.499	142	450	180	443	26	19.016	2.057	2.209	0	55	11	47	108.54	93.667	.193	5182	9656	5623	18748	22.205	55.172	1124	4.072	95.579	50.137	698.288	93.496	1.701	1704.5	30.176	4700	43572	6.132	70.266	40529	818.833	819.004	1117.63	819.246	1177.018	1.496	2.054	2.054	1.569	2.053	1.501	2.371	5.381	39.992	160.34	16.422	11.686	10.936	10.169	9.754	8.056	.684	.417	.254	.154	.097	.059	12.659	7.552	5.8	4.626	3.601	2.494	.527	.27	.135	.07	.036	.018	16.422	11.686	10.936	10.169	9.754	8.056	75.835	3.439	231.553	95.398	14.221	4.927	1.823	2.919	.809	.597	.381	.234	.129	.8	389	171	7.125	1.063	15.083	67	640	56	11	.757	2.277	2.962	7.925	3.752	4.56	817.6	8907.348	1.724	5.228	2.854	1.68	29.965	.235	.343	.735	1.499	53.959	.29	3.671	.268	3.055	109.978	.591	2.115	.547	4.549	163.753	.88	.621	.814	4.871	175.362	.942	.299	.872	4.927	177.362	.953	.243	.882	4.927	177.362	.953	.243	.882	2.607	8.46	70.651	70.666	98.463	70.687	104.243	1.75	1.746	-6.672	1.739	-8.362	0	0	0	0	0	4.416	.184	168.135	7.006	4.83	.201	147.96	6.165	4.826	.201	147.97	6.165	4.826	.201	147.974	6.166	4.772	.199	154.534	6.439	4.826	.201	147.98	6.166	4.761	.198	155.73	6.489	43	66	101	137	177	226	275	317	346	145	289	513.875	857.906	1369.156	2166.609	3069.984	3979.441	3763	51612.21	13.716	539.523	50.629	24.327	0	0	56.787	92.585	0	46.047	45.815	102.912	0	65.951	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
117-08-8	58.603	21.848	1.457	82	238.42	102	236.444	14	9.482	1.636	1.882	.009	34.333	8	28	55.543	41.2	.222	1302	2373.309	1187	3482.199	14.201	119.666	309	2.943	46.117	27.294	222.897	12.495	1.13	348	16.064	775	3444	9.108	45.579	1826	182.098	181.328	259.767	206.64	259.547	2.28	3.751	3.763	2.818	3.406	2.823	2.541	4.225	31.529	329.348	11.326	6.947	6.781	6.204	5.056	3.571	.755	.434	.271	.172	.105	.065	9.76	5.084	4.195	3.663	2.208	1.283	.651	.318	.168	.102	.046	.023	13.326	8.102	8.115	8.417	6.532	4.692	56.356	2.452	105.503	44.603	11.169	3.609	1.465	2.687	.953	.619	.402	.214	.107	.5	152	75	5	.533	6.613	31	153	20	37	.789	1.53	2.345	6.57	2.974	3.885	246.198	2030.02	1.457	4.375	2.371	1.544	23.219	.446	.62	1.504	1.457	21.848	.373	2.45	.327	2.44	36.603	.625	1.467	.547	2.707	40.603	.693	1.2	.607	2.974	44.603	.761	.933	.667	2.974	44.603	.761	.933	.667	2.974	44.603	.761	.933	.667	2.534	3.367	24.957	24.85	36.119	28.483	36.258	3.338	3.393	-2.725	1.585	-2.813	0	0	0	0	0	3.541	.236	63.717	4.248	3.822	.255	68.603	4.574	3.839	.256	66.796	4.453	3.84	.256	66.733	4.449	3.792	.253	71.045	4.736	3.82	.255	68.715	4.581	3.785	.252	71.057	4.737	25	36	48	55	53	46	36	23	5	98.125	191.125	314.438	390.375	459.211	455.625	417.656	79.734	358	2491.789	6.96	24.06	29.66	15.447	0	0	27.017	32.325	0	0	50.194	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	
117-10-2	122.211	36.908	1.42	100	304	124	300	17	12.948	1.862	2.053	.002	40	8	35	72.474	56.889	.211	2264	4400	2272	8158	17.057	53.263	512	3.346	61.271	34.616	333.765	30.544	1.382	649	20.55	1744	11254	6.166	48.914	6228	334.25	334.282	395.608	334.327	407.92	1.895	2.893	2.893	2.552	2.892	2.495	2.198	5.223	35.638	192.945	12.861	8.609	8.017	7.262	6.582	5.239	.715	.43	.267	.165	.106	.065	9.175	5.343	4.058	3.028	2.206	1.5	.51	.267	.135	.069	.036	.019	12.861	8.609	8.017	7.262	6.582	5.239	53.964	2.837	142.805	58.3	10.842	3.603	1.374	2.17	.802	.6	.383	.224	.12	.75	224	104	5.778	.914	8.568	44	232	26	17	.714	1.891	2.607	7.095	3.086	4.149	398.918	3632.563	2.113	5.123	2.573	1.599	25.375	.337	.481	1.092	1.42	36.908	.302	3.281	.27	2.815	73.192	.599	1.885	.536	3.335	86.702	.709	1.366	.635	3.777	98.211	.804	.923	.72	3.854	100.211	.82	.846	.734	3.854	100.211	.82	.846	.734	2.535	5.318	38.26	38.263	46.114	38.269	47.781	1	.997	-3.812	.994	-4.778	0	0	0	0	0	3.868	.215	94.477	5.249	4.193	.233	91.887	5.105	4.189	.233	91.651	5.092	4.189	.233	91.653	5.092	4.146	.23	95.476	5.304	4.189	.233	91.656	5.092	4.137	.23	96.156	5.342	30	44	62	80	85	92	93	94	78	150.75	319.5	622.688	961.875	1564.313	2323.688	3570.961	4280.027	848	36403.47	42.929	400.905	36.864	18.391	0	0	0	89.799	0	0	0	100.01	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
117-39-5	160	48.526	1.516	120	402	145	389	19	15.145	1.784	1.991	.001	51	10	40	98.502	89.636	.225	4224	8718	4248	17512	21.023	382.978	986	4.268	79.354	42.159	693.048	52.379	2.559	1599.5	25.242	2212	13196	13.343	108.567	8350	667.708	667.839	918.556	668.022	968.89	1.735	2.564	2.563	1.938	2.563	1.851	2.554	5.143	49.811	128.596	16.016	10.38	10.037	8.612	7.132	5.547	.728	.432	.279	.176	.11	.066	10.939	6.123	4.65	3.173	2.135	1.41	.497	.255	.129	.065	.033	.017	16.016	10.38	10.037	8.612	7.132	5.547	66.56	3.207	181.861	87.162	14.556	5.116	2.375	3.385	.765	.607	.367	.192	.105	1	368	174	7.909	1.198	14.364	64	564	64	37	.714	2.461	3.105	7.641	3.971	4.433	717.251	7533.786	2.016	5.242	2.989	1.65	34.277	.276	.413	.819	1.516	48.526	.303	3.484	.279	2.872	91.91	.574	2.128	.529	3.787	121.171	.757	1.213	.698	4.512	144.39	.902	.488	.832	4.938	158	.988	.063	.91	5	160	1	0	.921	2.499	5.347	62.921	62.933	88.126	62.951	93.342	1.75	1.746	-6.672	1.739	-8.362	0	0	0	0	0	4.138	.188	144.992	6.591	4.623	.21	122.07	5.549	4.619	.21	122.267	5.558	4.619	.21	122.27	5.558	4.573	.208	127.225	5.783	4.619	.21	122.273	5.558	4.563	.207	128.186	5.827	36	49	65	84	95	103	109	118	109	138	258.563	468.563	715.5	1076.625	1654.805	2520.176	3388.711	1067	32930.03	30.862	359.271	44.525	22.295	0	0	0	165.599	0	0	0	88.661	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
117-61-3	172.974	67.425	1.983	118	362.889	137	214	18	13.523	1.63	1.849	.001	51	10	36	97.585	85.909	.211	3828	7682.222	3611	14107.22	20.742	1776.802	945	4.091	79.221	41.299	771.667	29.794	2.597	1424.5	24.882	1769	9329	23.598	137.679	4399	535.625	535.544	765.536	650.456	688.468	2.251	3.901	3.902	2.881	3.256	3.174	5.581	4.471	54.848	282.588	16.707	9.998	11.109	7.107	5.825	5.388	.759	.435	.309	.169	.104	.072	12.596	8.624	7.241	4.644	3.432	2.524	.573	.375	.201	.111	.061	.034	17.207	11.787	13.846	8.551	7.229	6.841	81.452	3.033	176.789	67.264	13.927	3.998	2.48	2.531	1.125	.619	.324	.169	.114	.8	316	158	7.182	.926	13.554	59	592	54	69	1.048	2.118	2.923	7.676	2.845	4.435	675.212	7253.454	2.231	5.413	2.821	1.656	41.656	.363	.531	1.123	1.983	67.425	.39	3.104	.36	3.293	111.954	.647	1.795	.598	3.572	121.464	.702	1.515	.649	3.852	130.974	.757	1.235	.699	3.852	130.974	.757	1.235	.699	3.852	130.974	.757	1.235	.699	2.485	3.584	50.675	50.668	72.928	61.171	65.391	3.036	3.033	-6.435	1.914	-7.581	0	0	0	0	0	4.209	.191	117.739	5.352	4.624	.21	119.007	5.409	4.613	.21	116.996	5.318	4.613	.21	116.996	5.318	4.584	.208	123.106	5.596	4.62	.21	118.628	5.392	4.587	.209	121.914	5.542	36	42	56	75	72	77	62	54	44	120	234	454.5	626.063	970.313	1177.031	1554.82	1776.938	661	16508.77	24.975	178.691	43.28	22.3	0	0	0	140.5	0	0	0	0	0	0	9	78	22	0	0	0	0	0	63	36	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
117-79-3	122.211	38.379	1.476	94	256	115	264	16	12.542	1.925	2.091	.002	36.5	7	31	67.279	53.176	.224	2027	3627	2055	6255	16.332	28.373	452	3.324	55.63	32.137	286.314	27.661	1.393	578	18.95	1528	9696	5	43.631	5407	295.048	295.059	323.609	295.113	330.046	1.822	2.783	2.783	2.595	2.782	2.558	1.803	5.198	24.031	69.076	11.991	8.182	7.576	6.794	5.835	5.053	.705	.431	.271	.17	.106	.068	8.935	5.262	4.009	2.949	2.117	1.512	.526	.277	.143	.074	.038	.02	11.991	8.182	7.576	6.794	5.835	5.053	50.533	2.822	129.552	61.254	9.943	3.373	1.333	1.973	.831	.595	.369	.21	.122	1	224	103	6.059	.9	8.166	41	207	33	10	.682	2.133	2.656	6.912	3.852	4.064	361.199	3124.152	2.013	5.089	2.63	1.578	23.478	.33	.474	1.048	1.476	38.379	.314	3.224	.281	2.65	68.908	.564	2.05	.505	3.146	81.805	.669	1.554	.6	3.873	100.702	.824	.827	.738	4.162	108.211	.885	.538	.793	4.316	112.211	.918	.385	.822	2.508	5.318	35.893	35.894	39.532	35.902	40.411	.643	.642	-2.345	.637	-2.989	0	0	0	0	0	3.772	.222	89.649	5.273	4.07	.239	84.43	4.966	4.065	.239	84.202	4.953	4.065	.239	84.203	4.953	4.049	.238	85.986	5.058	4.065	.239	84.207	4.953	4.044	.238	86.39	5.082	28	40	55	74	77	81	84	87	63	141.75	293.625	590.625	908.719	1427.625	2158.523	3408.645	3741.82	750	31825.71	42.434	350.394	35.017	17.396	0	0	0	84.62	0	0	0	94.517	0	0	0	11	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
117-81-7	398.93	81.47	1.234	124	306	137	279	9	17.682	1.75	1.88	0	60	6	38	143.201	170.571	.265	9256	13098	8690	16527	27.211	1276.492	2388	6.317	98.71	47.649	2288.667	0	5.828	5626	28.675	3172	19484	44.127	302.63	5086	1948.75	1949.181	2777.69	1949.787	2944.021	2.512	3.137	3.137	2.168	3.136	2.042	2.111	5.57	31.456	384.682	20.778	13.566	10.554	8.484	6.117	4.735	.742	.484	.31	.207	.133	.091	18.168	10.999	7.576	5.354	3.178	2.073	.649	.393	.223	.131	.069	.04	20.778	13.566	10.554	8.484	6.117	4.735	84.365	3.893	206.797	72.761	24.531	14.486	9.036	12.691	1.178	.538	.317	.161	.088	.889	690	356	12.714	2.143	32.939	118	1472	134	77	2.681	3.039	3.771	8.314	3.807	4.771	1425.603	19853.71	1.778	5.264	3.611	1.712	86.456	.348	.554	.933	1.234	81.47	.204	4.81	.2	2.174	143.509	.36	3.87	.352	3.521	232.401	.583	2.523	.571	4.15	273.91	.687	1.894	.673	4.453	293.91	.737	1.591	.722	4.453	293.91	.737	1.591	.722	2.357	1.792	147.881	147.912	207.535	147.955	219.582	1	.998	-3.812	.994	-4.778	0	0	0	0	0	3.899	.139	564.568	20.163	5.193	.185	162.345	5.798	5.159	.184	165.071	5.895	5.159	.184	165.069	5.895	5.191	.185	162.125	5.79	5.159	.184	165.065	5.895	5.195	.186	161.781	5.778	34	41	46	52	48	48	50	49	44	89.125	143.375	222.313	235.438	295.523	322.703	421.383	376.313	652	4683.313	7.183	45.455	54.927	28.181	0	0	0	115.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
117-82-8	199.421	55.55	1.462	88	334	97	263	7	12.712	1.765	1.888	.002	46	4	26	89.694	91.2	.283	3548	6830	3258	11471	20.201	104.805	912	4.8	61.395	32.791	850	0	4.023	1669	19.418	1312	6578	26.589	142.349	2066	663.25	663.504	1152.914	663.863	1251.167	2.43	3.372	3.371	2.015	3.369	1.865	2.249	4.864	30.566	267.861	14.795	9.702	7.558	5.863	4.462	3.318	.74	.485	.315	.202	.131	.087	11.587	6.115	3.803	2.408	1.43	.853	.579	.306	.158	.083	.042	.022	14.795	9.702	7.558	5.863	4.462	3.318	63.597	3.197	128.775	54.928	16.47	9.34	5.527	7.692	.917	.533	.304	.162	.088	.857	370	192	9.6	1.52	17.68	62	584	76	37	2.341	2.646	3.341	7.337	3.122	4.28	634.82	6691.12	1.761	4.877	3.218	1.621	49.402	.388	.6	1.08	1.462	55.55	.279	3.786	.268	2.431	92.363	.463	2.817	.445	3.366	127.911	.641	1.882	.617	3.577	135.911	.682	1.671	.655	3.787	143.911	.722	1.461	.694	3.787	143.911	.722	1.461	.694	2.351	1.792	70.615	70.644	125.575	70.684	136.664	1.5	1.496	-5.719	1.491	-7.167	0	0	0	0	0	3.575	.179	241.746	12.087	4.378	.219	99.147	4.957	4.36	.218	99.805	4.99	4.36	.218	99.807	4.99	4.321	.216	102.493	5.125	4.36	.218	99.81	4.991	4.316	.216	102.807	5.14	24	29	34	38	34	32	28	25	18	77.125	131.375	205.313	213.438	257.273	245.953	314.508	226.125	344	2475.688	7.197	24.036	39.247	20.247	0	0	0	76.231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
117-84-0	398.93	81.47	1.234	120	302	129	271	7	18.257	1.826	1.919	0	60	4	34	146.71	194.571	.309	10628	14886	10098	18767	28.032	247.613	2724	7.206	93.829	45.983	2624.667	0	6.968	7506	27.417	3508	24140	42.019	306.532	5678	2284.75	2285.181	3113.69	2285.787	3280.021	2.21	2.686	2.685	1.939	2.684	1.838	2.11	5.352	29.614	319.925	20.452	13.702	10.387	7.863	5.876	4.337	.73	.489	.325	.213	.14	.094	17.842	11.135	7.353	4.829	3.089	1.925	.637	.398	.23	.131	.074	.042	20.452	13.702	10.387	7.863	5.876	4.337	85.183	4.159	194.477	72.761	24.531	16.448	11.188	14.41	1.193	.523	.289	.15	.078	.909	834	428	15.286	2.755	42.449	134	1696	168	53	3.02	3.325	4.031	8.275	3.807	4.761	1523.711	22542	1.484	5.29	3.851	1.707	87.013	.299	.491	.762	1.234	81.47	.204	4.81	.2	2.068	136.489	.342	3.976	.335	3.233	213.381	.535	2.811	.524	3.931	259.42	.65	2.114	.637	4.355	287.42	.72	1.69	.706	4.476	295.42	.741	1.568	.725	2.351	1.792	175.367	175.397	234.661	175.44	246.645	1	.998	-3.812	.994	-4.778	0	0	0	0	0	3.632	.13	2271.538	81.126	5.174	.185	162.35	5.798	5.141	.184	164.703	5.882	5.141	.184	164.701	5.882	5.176	.185	162.159	5.791	5.141	.184	164.699	5.882	5.18	.185	161.838	5.78	32	37	42	46	42	42	40	41	40	85.125	139.375	213.313	221.438	270.273	265.953	352.758	302.875	652	4683.313	7.183	45.455	55.248	28.159	0	0	0	116.877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1172-18-5	282.193	81.157	1.623	138	357.605	163	353.111	18	18.898	1.862	2.014	0	58.333	9	48	130.678	129.407	.212	7293	11509.6	7282	17429.78	25.247	375.577	1747	4.977	105.128	51.8	1376.325	85.426	3.147	3208.5	31.403	3786	25576	21.681	175.189	12804	1326.688	1325.491	1755.696	1340.159	1870.541	1.773	2.349	2.35	1.805	2.33	1.701	2.036	6.422	32.435	319.293	19.389	13.045	11.314	9.794	7.914	6.424	.718	.45	.283	.181	.113	.07	16.339	9.545	6.815	5.076	3.467	2.262	.605	.329	.17	.094	.05	.025	18.889	12.757	10.98	9.339	7.515	6.193	84.494	3.638	236.324	94.041	19.69	8.749	4.27	6.38	.987	.574	.349	.186	.103	1	514	247	9.148	1.572	23.372	90	1064	97	33	1.433	2.672	3.321	8.249	4.31	4.722	1165.745	14411.65	1.946	5.428	3.141	1.71	46.5	.26	.392	.768	1.623	81.157	.288	4.021	.274	2.778	138.89	.492	2.866	.469	4.116	205.812	.729	1.528	.695	4.854	242.683	.86	.79	.82	4.974	248.683	.881	.67	.84	4.974	248.683	.881	.67	.84	2.478	5.505	103.16	103.069	137.423	104.205	146.874	1.659	1.707	-3.676	1.193	-4.962	0	0	0	0	0	4.331	.16	314.777	11.658	5.105	.189	165.118	6.115	5.094	.189	165.421	6.127	5.094	.189	165.383	6.125	5.08	.188	167.441	6.202	5.093	.189	165.803	6.141	5.074	.188	167.911	6.219	40	54	70	92	109	124	130	138	144	129	238.875	437.5	640.344	980.188	1383.125	1879.008	2498.379	1462	29263.8	20.016	313.479	54.758	27.248	0	0	0	136.727	74.396	0	0	0	117.37	0	12	8	0	0	19	18	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
118-08-1	275.121	75.134	1.533	160	454	200	450	27	21.501	2	2.155	0	62.5	12	53	136.043	131.286	.2	8243	13987	8846	24791	25.793	210.993	1838	4.862	116.108	57.88	1269.373	147.227	2.934	3329	35.077	5214	44749	13.198	140.753	50420	1454.637	1454.875	1954.197	1455.465	2059.248	1.396	1.748	1.748	1.355	1.747	1.296	2.058	5.751	32.747	138.697	19.413	13.618	12.414	11.553	10.579	8.81	.693	.426	.259	.16	.101	.063	15.982	9.206	7.171	5.771	4.421	3.236	.571	.288	.149	.08	.042	.023	19.413	13.618	12.414	11.553	10.579	8.81	87.807	3.773	276.004	104.504	17.946	6.742	2.673	4.321	.863	.591	.38	.226	.123	1	580	260	9.286	1.327	20.806	92	1100	97	21	.845	2.651	3.307	8.351	4.593	4.78	1250.11	15348.32	1.898	5.386	3.191	1.717	37.384	.203	.306	.603	1.533	75.134	.273	4.081	.259	2.72	133.298	.485	2.894	.46	4.326	211.96	.77	1.289	.731	4.915	240.856	.875	.699	.83	5.038	246.856	.897	.577	.851	5.201	254.856	.926	.414	.879	2.569	8.497	107.019	107.037	147.361	107.081	156.067	1.643	1.639	-6.158	1.631	-7.767	0	0	0	0	0	4.702	.168	217.269	7.76	5.212	.186	182.863	6.531	5.222	.186	181.313	6.475	5.222	.186	181.317	6.476	5.161	.184	189.45	6.766	5.222	.186	181.325	6.476	5.15	.184	190.912	6.818	48	72	105	139	168	212	258	284	305	146.75	272.25	466.563	637.563	934.031	1307.047	1696.734	2248.078	4314	66597.13	15.437	702.272	58.451	28.265	0	0	97.993	159.729	0	0	170.953	85.574	0	0	0	32	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
118-52-5	69.487	36.367	2.139	58	173.21	71	159.778	10	5.781	1.451	1.691	.056	25.667	6	19	34.761	24	.246	532	1036.543	414	1348.642	10.297	54.663	132	2.4	28.083	18.049	108	0	.886	124.5	10.433	228	641	10.467	34.483	352	97.55	97.32	163.94	105.248	173.38	2.867	3.747	3.755	2.281	3.522	2.145	2.372	4.095	21.105	13.624	8.809	4.887	5.117	4.754	2.68	1.355	.801	.444	.284	.198	.112	.071	7.479	3.567	3.385	2.394	1.196	.51	.68	.324	.188	.1	.05	.027	9.809	5.464	5.761	5.902	3.371	1.738	38.048	1.978	61.776	33.632	8.936	2.418	1.065	1.965	.973	.642	.415	.164	.059	.333	72	39	3.545	.496	4.364	18	66	11	37	.791	.994	1.9	5.663	2.55	3.434	104.5	747.517	1.936	3.565	1.972	1.442	18.8	.678	.891	2.497	2.139	36.367	.523	1.948	.504	2.587	43.977	.633	1.501	.609	2.94	49.977	.719	1.148	.692	3.057	51.977	.748	1.03	.72	3.057	51.977	.748	1.03	.72	3.057	51.977	.748	1.03	.72	2.495	1.609	18.382	18.342	30.442	19.78	32.08	2.08	2.107	-2.717	1.197	-3.204	0	0	0	0	0	3.032	.276	35.371	3.216	3.268	.297	41.68	3.789	3.279	.298	40.424	3.675	3.279	.298	40.409	3.674	3.272	.297	41.086	3.735	3.275	.298	40.903	3.718	3.276	.298	40.845	3.713	18	24	24	19	7	0	0	0	0	33	34	29	12	0	0	0	0	114	154	1.351	.451	20.805	11.567	0	0	28.967	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	4	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
