	"Activity"	"Structure Name"	"set"	"Min_dist"	"Avg_dist"	"Order"	"S_sCH3"	"S_ssCH2"	"S_aaCH"	"S_sssCH"	"S_aasC"	"S_aaaC"	"S_sNH2"	"S_ssNH"	"S_aaN"	"S_sssN"	"S_ssO"	"S_sCl"	"N_ssCH2"	"N_sssCH"	"N_aasC"	"N_aaaC"	"Apol"	"IC"	"BIC"	"CIC"	"MW"	"Rotlbonds"	"Hbond acceptor"	"Hbond donor"	"AlogP98"	"Fh2o"	"Foct"	"MolRef"	"JX"	"Kappa-3"	"PHI"	"SC-3_P"	"SC-3_C"	"CHI-0"	"CHI-3_C"	"CHI-V-1"	"CHI-V-3_P"	"CHI-V-3_C"	"RadOfGyration"	"Jurs-PPSA-1"	"Jurs-PNSA-1"	"Jurs-PPSA-2"	"Jurs-PNSA-2"	"Jurs-DPSA-2"	"Jurs-PPSA-3"	"Jurs-FPSA-1"	"Jurs-FPSA-3"	"Jurs-FNSA-3"	"Jurs-WNSA-1"	"Jurs-WPSA-3"	"Jurs-RPCG"	"Jurs-RNCG"	"Jurs-RPCS"	"Jurs-RNCS"	"Jurs-TPSA"	"Jurs-TASA"	"Jurs-RPSA"	"Shadow-XY"	"Shadow-XZ"	"Shadow-YZ"	"Shadow-XYfrac"	"Shadow-XZfrac"	"Shadow-YZfrac"	"Shadow-nu"	"Shadow-Xlength"	"Shadow-Ylength"	"Shadow-Zlength"	"Density"	"PMI-mag"	"PMI-X"
"9-12D"	5.071604148	"9-12D"	1	999.9	999.9	11	2.07175874710083	0.7045732140541077	10.01320648193359	0	3.619266986846924	0.9128217697143555	11.35012531280518	0	16.63182067871094	0	0	0	1	0	5	2	12554.32008171082	3.46328067779541	0.6958179473876953	0.9290367364883423	298.3647999999999	3	5	4	2.365900039672852	-34.99641036987305	-32.7599983215332	88.64521789550781	1.772311449050903	4.050000190734863	3.489216327667236	40	7	14.81962585449219	1.524050235748291	7.342791080474854	3.904770135879517	0.6902644038200378	4.848999266171964	350.5384713599999	179.222185296	713.1460874103542	-364.615046013939	1077.761133424293	33.18820758901325	0.6616921565536756	0.06264755068544853	-0.0570043672093956	94.94486256973227	17.5818066455913	0.1099303243801089	0.1876020479767613	1.141695338844719	2.626046767934368	66.15876590400001	463.6018907519999	0.1248842568295142	77.8737603779721	72.54257830185674	35.41349262059136	0.5178202479338843	0.5463286713286714	0.5402097902097902	2.294065470207261	17.45309293201169	8.616675084470794	7.607931490479592	1.182841451489675	1221.150606914375	84.82684953814227
"9-12E"	4.585026652	"9-12E"	1	999.9	999.9	12	2.067196607589722	0.7041839957237244	10.0423755645752	0	3.61832857131958	0.9123071432113647	11.34493446350098	0	16.61971092224121	0	0	0	1	0	5	2	12554.32008171082	3.232101678848267	0.6493710875511169	1.160215735435486	298.3647999999999	3	5	4	2.365900039672852	-34.99641036987305	-32.7599983215332	88.64521026611328	1.753750562667847	4.050000190734863	3.489216327667236	40	7	14.81962585449219	1.524050235748291	7.342791080474854	3.95444655418396	0.6902644038200378	4.897880585452088	352.4073463679998	178.076820768	716.8781692034833	-362.2495019010631	1079.127671104546	33.60355927311608	0.6643126566257224	0.06334507484839064	-0.05719252590244406	94.46693395133921	17.82615615380419	0.1099410607625715	0.1876203704950345	1.141806842907704	2.790447198758998	67.25235686400001	463.2318102719998	0.1267754271104543	79.23354147603929	71.48011079110323	32.89437810707278	0.5218186569114188	0.5627340823970037	0.5322997416020672	2.457106837396661	17.66660174994814	8.594813279800178	7.190001460687865	1.181760989648377	1245.593615079481	79.35334006213255
"9-12G"	4.991399828	"9-12G"	1	999.9	999.9	13	1.644888520240784	0.665759265422821	9.503023147583008	0	3.084191799163818	0.8798408508300781	11.34758758544922	0	16.595458984375	0	5.133355617523193	0	1	0	5	2	12899.12006950378	3.442862033843994	0.685505747795105	1.0165696144104	314.3641999999999	4	6	4	1.863300085067749	-38.7427864074707	-35.91999816894531	90.06719207763672	1.703850388526917	4.308390140533447	3.943069219589233	42	7	15.52673244476318	1.439499378204346	7.455163478851318	3.992898225784302	0.5916390419006348	4.941031317009265	357.7528416	184.5981414816	798.8856087071377	-412.2197880269467	1211.105396734084	35.79640099535176	0.6596334343625113	0.06600227917345912	-0.06763053912204338	100.116983507582	19.41421327061219	0.1001518138319365	0.170914489164866	1.040139376223431	2.31769069951807	89.53433079360001	452.8166522879999	0.165085587721944	80.0803139224172	74.12492715753606	35.04983073445641	0.5157168412982367	0.5598455598455598	0.5600251414204902	2.481053060771888	18.12450051583973	8.567387415439633	7.305164408777681	1.210214436671169	1436.25926211162	89.1928307973325
"9-12J"	4.844663963	"9-12J"	1	999.9	999.9	14	0	0.6611000895500183	9.283287048339844	0	2.94318151473999	0.873748779296875	11.31950283050537	0	16.54321670532227	0	0	5.854753494262695	1	0	5	2	13532.68008995056	3.232101678848267	0.6493710875511169	1.160215735435486	318.7831	3	5	4	2.544099807739258	-35.06640243530273	-33.12999725341797	88.40879821777344	1.745698928833008	4.050000190734863	3.676177978515625	40	7	14.81962585449219	1.524050235748291	7.409737586975098	3.999077558517456	0.7125799655914307	4.576786030733086	291.0943728	235.53234936	580.3568184417089	-469.5824430395672	1049.939261481276	32.12760150203491	0.5527527574105131	0.06100640197341507	-0.06726774255263628	124.0376291061007	16.91925346987933	0.1121757659848732	0.1914340140138229	1.110828882900693	2.805296795971203	67.20674083200001	459.4199813279998	0.1276174147721681	78.74130224590867	70.92857360981667	32.55215030918171	0.5098484848484849	0.5530864197530864	0.5277777777777778	2.503991659551729	17.91969256463442	8.618484511277437	7.156450580127909	1.276817501225661	1519.114388308944	81.1141607447144
"9-12K"	6.522878745	"9-12K"	1	999.9	999.9	15	0	0.4944334030151367	9.010139465332031	0	2.646838903427124	0.8285635709762573	11.29766654968262	3.21622896194458	16.44767189025879	0	0	5.836235046386719	1	0	5	2	12280.96008110046	3.232101678848267	0.6493710875511169	1.160215735435486	301.7377000000001	3	4	5	1.533100128173828	-40.63553237915039	-37.2400016784668	85.69610595703125	1.751558780670166	4.050000190734863	3.407315492630005	40	7	14.81962585449219	1.524050235748291	6.534893035888672	3.070972442626953	0.5917890667915344	4.400844248472088	311.7236263679999	205.025968224	695.5151603991143	-457.4522359791319	1152.967396378246	35.19376231449015	0.6032392277232875	0.06810602791527572	-0.06185691158805334	105.9470859605842	18.18636240817999	0.1002359345410691	0.1710580470612441	0.9683842070016254	2.244810406817173	69.58983292800001	447.1597616639999	0.1346683841773398	77.2928338814437	70.09056404453676	32.41077847775645	0.5061287027579162	0.5882352941176471	0.553475935828877	2.607879643615802	17.6277957728187	8.663238152056795	6.759436086696825	1.240860649172128	1428.396587187205	77.15492421488935
"9-12N"	4.640164518	"9-12N"	1	999.9	999.9	16	3.208471775054932	0.4129801988601685	7.086775302886963	0	3.135190963745117	0.7813127040863037	11.37481594085693	3.236907958984375	16.54653549194336	0	10.55034160614014	0	1	0	6	2	12553.62004089355	3.720175266265869	0.7282289266586304	0.864787220954895	327.345	5	6	5	0.8359000682830811	-47.76372528076172	-43.70000076293945	93.81768798828125	1.769129872322083	4.601177215576172	4.359333515167236	47	8	17.10408401489258	1.568708419799805	7.109357833862305	3.367745637893677	0.5186092853546143	4.827700262870906	417.3655812479998	158.30049149376	1145.761102000532	-434.56997128359	1580.331073284122	40.3321150844431	0.7250133384796976	0.07006165031117934	-0.06813026991586463	91.12822225130317	23.21783029603005	0.08146721728802346	0.1390282136443941	0.7673822546476454	2.098151967245121	110.55439186176	465.1116808799999	0.1920460438726497	80.80616624594927	78.50839848033439	43.01310078642359	0.4751724137931034	0.526907001044932	0.5068181818181818	2.003755455826975	17.27879425826339	9.841920430477606	8.623205096218793	1.183814728014817	1414.569844810591	149.9259794508162
"9-12P"	6.055517328	"9-12P"	1	999.9	999.9	17	3.198096752166748	0.4336094856262207	7.117464065551758	0	3.168207168579102	0.7902982234954834	11.36794185638428	3.237092971801758	16.53842353820801	0	10.48219776153564	0	1	0	6	2	12553.62004089355	3.501628875732422	0.685448169708252	1.083333611488342	327.345	5	6	5	0.8358995914459229	-47.96827697753906	-43.70000076293945	93.81768798828125	1.744273900985718	4.803402423858643	4.359333515167236	46	8	17.10408401489258	1.643623352050781	7.10337495803833	3.326218605041504	0.5388896465301514	5.024316859409299	407.2699868159999	160.955226432	1101.723332813335	-435.4068186146353	1537.13015142797	39.85539065544729	0.7167404355185631	0.07014013057891634	-0.07081699686865872	91.4588178627033	22.64683785427388	0.0826742348497279	0.1410880561864964	0.7987197777022491	1.974945571961914	113.979321456	454.2458917919998	0.2005882857687523	81.38118661892516	79.19989732122137	38.03324625779596	0.564935064935065	0.5356765327695561	0.5420819490586932	2.107286320882708	17.42306340637619	8.268009540857243	8.485891614459446	1.183162575442229	1582.273378094365	127.3132287283657
"9-12R"	4.677780705	"9-12R"	1	999.9	999.9	18	1.367111206054688	0.08772516250610352	4.570334434509277	0	0.1167094707489014	0.4906539916992188	11.23807334899902	2.854685544967651	16.06690788269043	0	5.084174156188965	0	1	0	6	2	12401.48007965088	3.763342380523682	0.7251386642456055	0.9370973110198975	365.3171	4	5	5	1.794600248336792	-45.48824310302734	-42.87000274658203	93.32820892333984	1.7807377576828	5.093425750732422	4.466267108917236	51	12	18.89697647094727	2.874947071075439	7.313931465148926	3.487905740737915	0.6680415868759155	4.68841471760013	338.0097705599999	252.68008683456	991.3067478088184	-741.0539546508905	1732.360702459709	36.22475808852246	0.5722288377371295	0.06132618942926185	-0.0870260750682369	149.2555644587513	21.39759718946177	0.1418343307349893	0.1301372367318256	0.03425670806663982	1.93550991683054	89.03818670208	501.65167069248	0.1507359328883916	81.7315851519561	80.0680579479959	47.04008108349075	0.4656299301329727	0.5389237199582028	0.535204991087344	1.997106046957237	17.22529075375506	10.190194470636	8.625125731304689	1.284182380267212	1687.153108604048	204.8555925228689
"9-12F"	5.113509275	"9-12F"	1	999.9	999.9	19	1.645900249481201	0.6527024507522583	9.502685546875	0	3.034182548522949	0.8732150793075562	11.35294628143311	0	16.6013069152832	0	5.205265522003174	0	1	0	5	2	12899.12006950378	3.663532495498657	0.7294433116912842	0.7958991527557373	314.3641999999999	4	6	4	1.863300085067749	-38.7427864074707	-35.91999816894531	90.06719207763672	1.7342369556427	4.308390140533447	3.943069219589233	42	7	15.52673244476318	1.439499378204346	7.455163478851318	3.956434965133667	0.5916390419006348	5.031319209648178	352.7891136	185.84037033408	788.9769414410948	-415.613075507775	1204.59001694887	35.23115394643853	0.6549754963714092	0.06540888495207273	-0.06826874823433807	100.0991027671638	18.97653826857231	0.1000025764640735	0.1706598079516051	1.038589452594702	2.426216301745749	88.02985876608	450.599625168	0.1634330488615687	81.1089453849513	74.52207709666423	33.21598043065384	0.5068426197458455	0.5553618134263295	0.5288697788697788	2.547987554998592	18.49069008360385	8.654510475594357	7.256978177671697	1.213519605271356	1441.987195530971	85.44659544707162
"1-235791"	7.124938737	"1-235791"	1	999.9	999.9	20	1.534060835838318	0.4505701065063477	8.814083099365234	0	2.503329038619995	0.7870262861251831	11.31675243377686	3.202497482299805	16.44594764709473	0	0	0	1	0	5	2	12270.00009727478	3.551190853118896	0.6951500177383423	0.9723711013793945	309.3298	4	5	5	0.6086001396179199	-41.2337646484375	-35.21999740600586	91.29412078857422	1.710409283638	4.545454502105713	3.714540481567383	44	8	16.39697647094727	1.735375046730042	6.922070980072021	3.266200542449951	0.5882023572921753	4.948859453100085	370.5916811519999	184.96845820992	911.5074099895356	-454.9484851343297	1366.455895123865	37.3630692146187	0.6670595222645693	0.06725296969205077	-0.06893718323514592	102.7611024206626	20.75743193986263	0.09092761243841382	0.1551728890256295	0.9663016631287236	2.341800227722061	110.67728371392	444.8828556479999	0.1992174669713286	80.70209808933825	77.69373138207136	33.56026751139369	0.5004887585532747	0.6179633143580012	0.571524064171123	2.745994136829551	18.58067323524144	8.678187967242968	6.766465006620217	1.169099242921062	1553.4546535757	85.50271169079046
"9-12I"	4.575118363	"9-12I"	1	999.9	999.9	21	0	0.6459312438964844	9.294695854187012	0	2.880689382553101	0.865647554397583	11.32018661499023	0	16.53787612915039	0	0	5.9541015625	1	0	5	2	13532.68008995056	3.46328067779541	0.6958179473876953	0.9290367364883423	318.7831	3	5	4	2.544099807739258	-35.06640243530273	-33.12999725341797	88.40879821777344	1.763487219810486	4.050000190734863	3.676177978515625	40	7	14.81962585449219	1.524050235748291	7.409737586975098	3.946411371231079	0.7125799655914307	4.561155345267208	289.3237670399999	236.132960448	577.5006017441316	-471.3298534645596	1048.830455208691	32.02896147119163	0.5506138791354752	0.06095451784261929	-0.06765377154481356	124.0776526490594	16.82983327949159	0.1120448745866688	0.1912106405407319	1.109532721074901	2.67655971777477	67.42545902399999	458.0312684639999	0.1283178147634237	75.34072500256981	77.92965593262602	36.74766822576486	0.56875	0.5717189314750291	0.5713414634146341	2.119269273773777	16.75510923221212	7.906078495809241	8.135287808804199	1.275913831221033	1329.828463255512	115.7785599278365
"9-12M"	5.244125144	"9-12M"	1	999.9	999.9	22	3.642613887786865	0.4662399291992188	7.477300643920898	0	3.777346611022949	0.8217318058013916	11.37874221801758	3.310472726821899	16.59420013427734	0	5.364684104919434	0	1	0	6	2	12208.82005310059	3.936179637908936	0.7769660949707031	0.5873823165893555	311.3456	4	5	5	1.338499903678894	-44.04462432861328	-40.54000091552734	92.39571380615234	1.805496573448181	4.158790111541748	3.899084568023682	46	8	16.39697647094727	1.569702625274658	7.002968311309814	3.401901960372925	0.585236668586731	4.428694504870727	405.8404331519999	141.36735545856	1031.902445333264	-359.4450188366872	1391.347464169951	38.29071273542829	0.7416569018187548	0.0699747217280185	-0.05193465921538265	77.35731796220158	20.95297624027592	0.08795833424427923	0.15010565602397	0.8710139602127094	2.166835287839417	74.34477521856	472.8630133919999	0.1358620559976535	96.8228540564514	59.6683522595905	38.79628625772285	0.594390243902439	0.6186991869918699	0.66	2.771149705169679	16.34791021817757	9.964235052893818	5.899324091975239	1.156586882350013	1134.625996035959	129.0114074821117
"9-12Q"	5.721246399	"9-12Q"	1	999.9	999.9	23	4.672713279724121	0.3942399024963379	5.19563627243042	0	3.295527696609497	0.7591923475265503	11.39941596984863	3.232852697372437	16.56523895263672	0	15.985182762146	0	1	0	7	2	13459.84002113342	3.767183542251587	0.7258787751197815	0.9332561492919922	357.3712	6	7	5	0.8194999694824219	-51.35917282104492	-47.65000152587891	100.2808837890625	1.762076616287231	4.899408340454102	5.071280479431152	52	9	18.68143463134766	1.704791307449341	7.638396739959717	3.639501810073853	0.5716890096664429	4.87061891083024	464.504158272	150.5622732768	1410.719528730462	-457.2642443167981	1867.98377304726	43.05937923297218	0.7552097374300386	0.07000768864030553	-0.06642787214834028	92.6058001502366	26.4843787295307	0.07363923237172217	0.1256693338290846	0.67586057308137	1.869059524976044	116.7106536288	498.35577792	0.1897529236555972	86.66710181217455	82.57927313760908	49.25324655746651	0.4297488226059655	0.5272227772227772	0.5089285714285714	2.083826462001328	18.06630010101037	11.16272840409474	8.669771898212346	1.185941617205984	1731.360448915053	173.9863188730066
