Compound Id,mpC
6757,84.5
6763,81.8
6764,177
6767,146.2
6768,17
6770,66.8
6771,42.5
6774,55.2
6780,-14.9
6781,10
6783,72
6787,201.5
6788,33.7
6790,112.2
6794,-38.2
6797,226.8
6823,123.3
6824,163
6825,76.2
6828,69.6
6830,90.5
6834,90.8
6835,53.5
6837,221.2
6838,73
6840,100.8
6845,281
6846,121
6848,212.5
6852,73.2
6854,180.5
6855,54.5
6856,184.8
6857,156.7
6858,78.5
6862,36.8
6864,75.4
6872,97.5
6878,73.5
6881,18.4
6883,-12.8
6898,57.5
6899,42.2
6900,163.3
6901,69.2
6906,74.5
6907,96.6
6916,69.1
6927,208.3
6928,231
6942,-2.9
6943,135.6
6949,-1.9
6950,98.3
6951,31.2
6954,59.5
6957,39
6967,-25.1
6974,5.3
6977,-43.9
6983,128.7
6985,25
6988,67
6990,24.5
6991,98.3
6995,141
6998,-40.6
6999,79.4
7001,67.7
7007,16.6
7013,-14.6
7016,-39.2
7022,-75.4
7024,-142.5
7026,-18.5
7027,-72
7037,55.3
7042,230.8
7044,182.5
7045,177.9
7060,140.5
7065,-88.1
7069,-54.8
7073,-80.6
7088,-58.3
7090,-28.4
7091,14.8
7092,151.7
7097,5.8
7098,-1.9
7100,-20
7103,54.6
7108,-3.7
7114,48.8
7116,-35
7118,75.5
7119,69.2
7120,51.5
7121,83.5
7125,165.2
7129,-23.1
7132,19.7
7135,31
7138,5.7
7140,109.9
7141,173.7
7142,202.3
7143,83.7
7145,113.4
7148,73.3
7152,190
7155,205.7
7162,30.2
7163,132.8
7166,106.7
7167,117.7
7168,140.3
7169,58.5
7170,-63
7171,43.8
7172,89.2
7174,110
7175,34.7
7176,129.4
7177,57.3
7183,-68.2
7185,60.7
7186,50.8
7189,108.2
7190,180.2
7199,74.5
7201,28
7202,71.8
7203,152.3
7207,82.2
7210,164.5
7211,173.7
7214,59
7219,-95
7224,-12.9
7225,77.7
7229,-6.8
7235,19.3
7236,89.5
7238,-37.1
7241,28
7242,-63
7244,-63.3
7248,-84.8
7258,145.2
7259,23.7
7260,159.8
7268,205.8
7274,26.7
7275,66.5
7279,133.8
7284,18.4
7289,37.6
7292,75.5
7296,91.2
7300,11.2
7301,-1.3
7302,27.4
7311,85.7
7313,149.5
7315,80.3
7325,42.5
7334,-93.5
7355,86
7358,-67.4
7364,52.5
7370,47.2
7385,-99.6
7387,-63.6
7388,46.7
7391,-29.8
7392,-7.9
7399,167.7
7407,215.7
7419,-88
7427,96
7430,-14.1
7437,29.7
7448,-42.9
7463,-73.3
7465,-24.3
7475,-94.2
7480,69.4
7507,-73.1
7509,-66
7511,-45.7
7514,-38.5
7515,-76
7518,66.7
7519,64.1
7521,12.8
7551,10
7553,-119.1
7555,-137.9
7556,-185.2
7557,-111
7559,-87.2
7560,-113.1
7566,-92.6
7567,-83.8
7577,-99.8
7580,-93.6
7581,-106.1
7589,128.8
7604,-153.9
7605,-104.2
7607,-77.7
7610,120.5
7611,40
7619,-120.6
7621,-83
7626,-86.4
7627,-73.2
7628,-93
7632,221.5
7634,119.5
7635,53.3
7641,-47.6
7651,160.2
7657,-99.1
7659,-44.9
7662,64.2
7670,-41.8
7672,-56.8
7673,-30.9
7674,-126.6
7676,-45.3
7677,-17.7
7678,23.5
7683,127.2
7688,-29.5
7689,-46.2
7690,126.2
7694,-91.8
7701,-33.9
7706,-93.6
7710,-34
7711,-112.1
7712,-129.9
7713,-164.3
7714,-123
7715,-59
7716,-49.2
7717,-112
7721,-115.9
7728,-85
7732,-115.3
7734,-80.4
7736,-23.2
7737,-108.1
7738,-85.4
7739,-38.3
7740,90.5
7744,-6.1
7747,-98.9
7758,3.5
7761,-93.2
7765,-18.4
7767,-95.1
7770,-96
7772,-91.5
7776,-75.9
7782,-93
7786,-101.8
7787,6.8
7788,-103.9
7790,60.6
7791,-9
7794,-75.2
7795,43.2
7797,145.5
7802,-17.7
7803,-7.6
7805,130
7810,-84.9
7811,-22
7815,-80.7
7827,-102.5
7830,34
7833,-102
7835,-19.7
7837,-34.2
7838,-43.1
7847,5.1
7849,-53.4
7850,-57.9
7851,-0.2
7852,-49.1
7856,-61.5
7866,11.4
7871,13
7876,-17.5
7878,-43.6
7879,-31.8
7881,-29.4
7882,6.7
7883,-5.3
7888,28.4
7889,30.5
7890,-9.8
7891,-35.5
7893,-2.5
7894,-2
7900,-9.2
7901,24.5
7903,-7.5
7908,-5.6
7909,39.6
7914,11.5
7915,33.2
7916,5.3
7917,39.5
7921,17.5
7923,77.7
7925,17.2
7926,28.1
7928,59.5
7929,36.6
7951,129.8
7954,-185.1
7956,-139.8
7957,-140.2
7961,18.5
7970,78
7974,241.2
7975,156.8
7988,50.3
8013,-52
8023,255.3
8030,146.8
8045,39.5
8054,171.4
8055,207
8057,133
8058,42.4
8066,162.2
8067,230.2
8070,104.5
8071,140.3
8073,80
8086,35.2
8097,-34.4
8098,26.2
8099,98
8104,136.5
8105,194.8
8106,130.8
8111,216.2
8118,48.2
8127,115.8
8138,13
8140,43.7
8141,-51.2
8150,69.4
8151,-2.8
8154,77.2
8155,212.3
8157,-32.8
8158,-114.9
8160,-19.6
8163,60.9
8177,205.2
8181,34.5
8182,344.5
8183,141.8
8187,13.7
8188,74.3
8235,210
8252,137.2
8253,201.2
8254,145
8274,214.8
8277,33.2
8282,124.2
8298,124
8310,233.2
8319,48.7
8329,94.9
8331,76.5
8333,112.5
8335,-31.1
8341,122.4
8353,318.5
8366,133
8381,81.2
8382,130
8434,83.5
8438,154
8459,171.5
8463,25
8470,171.8
8490,-71
8514,-64.3
8524,81.8
8525,-83.9
8528,121
8531,-84
8537,107.5
8543,-99.8
8544,-135
8552,-3
8554,-46.3
8560,-90.8
8567,12.8
8568,-80.3
8569,-96.5
8574,-5.6
8576,15.3
8579,-9.8
8659,-84.9
8662,70.8
8665,56.2
8788,276.1
8793,115
8799,166
8800,107.8
8804,216.5
8807,91.8
8816,198.6
8836,51
8846,210
8852,90.8
8855,47.5
8860,108.5
8861,122.2
8862,58.2
8867,105.5
8873,30.5
8876,99.5
8882,158.5
8894,-90.8
8896,-94
8903,21.3
8904,54.3
8909,13.9
8911,60.4
8998,103.2
9002,155.7
9018,-24.1
9028,193.8
9073,222.2
9075,172.2
9078,-10.7
9089,74.1
9109,-12.2
9128,246.8
9130,93.2
9180,54.9
9189,144.2
9190,152.5
9192,126.3
9206,105.8
9218,85.5
9219,104.8
9225,153
9228,-24.4
9233,-104
9326,15.4
9327,45.7
9328,-7.7
9349,-1.4
9350,46.1
9354,-26.7
9357,66.5
9360,11.9
9394,-17.8
9413,158.5
9425,4.5
9426,56.7
9438,39.3
9442,120
9454,84.5
9478,-67
9480,44.8
9484,-111.2
9515,110
9522,-65.8
9535,36.3
9546,195.8
9547,125.2
9549,34.5
9554,57.5
9563,32
9564,66.5
9569,105.2
9571,41.2
9572,220.2
9574,123.5
9611,209.7
9612,221
9614,-41.4
9630,-66.2
9644,-138.9
9646,-16.7
9697,156.2
9779,153.3
9795,231.2
9805,100
9815,275.5
9824,83.8
9826,254.2
9832,348.2
9838,196.8
9844,-6.1
9849,122.2
9856,144.5
9873,210
9886,106.8
9894,35.5
9900,55.5
9903,-51.2
9908,88.8
9910,30
9917,4.2
9929,170.6
9946,233.2
9961,61.1
9964,90.5
9965,129.9
9990,-32.1
10001,-30.4
10004,104.2
10008,57.8
10009,88
10018,-43.5
10020,111.6
10025,143.5
10033,60.8
10034,98.5
10035,75.1
10046,146.4
10053,-17.4
10054,-25.8
10081,174.2
10085,36.5
10113,-133.9
10169,93.8
10230,98.5
10235,58.5
10236,-25.1
10243,233.5
10245,-23.8
10248,72.5
10250,128.8
10253,-71.8
10254,144.5
10256,172
10257,118.2
10259,165.5
10273,7.5
10284,90.8
10287,7.4
10289,206.5
10303,55.2
10322,88
10328,40.8
10333,51.9
10340,-88.5
10355,-63.8
10363,118.2
10364,-44.9
10378,81.5
10380,126
10396,148.5
10407,49.2
10408,35.1
10411,178.7
10420,-91.1
10425,52.5
10426,68.6
10428,-73.1
10432,93.1
10437,-122.6
10445,-107.1
10452,63.2
10464,115.2
10465,-80.8
10467,136.5
10471,93
10490,77.8
10498,-50.7
10534,-79.8
10536,-79.9
10539,54.7
10540,18
10542,69.8
10554,178.3
10571,-84.8
10581,297.8
10582,154.2
10609,57.3
10616,147.6
10618,164.5
10619,93
10621,50.8
10630,44.8
10633,88
10648,27.2
10649,52.8
10653,-87.9
10664,96.5
10674,64.2
10694,34.3
10696,17.7
10730,-137.7
10733,-38
10737,-115.1
10742,-101
10755,-134.6
10759,-126
10765,-168.2
10766,-137.4
10775,-157.1
10776,-74.5
10777,-92.4
10795,-109.4
10796,-113.2
10824,95.5
10831,81
10833,100.8
10834,64.2
10848,82.2
10857,57.7
10864,42.7
10871,170.8
10881,67.5
10892,100.5
10894,56
10895,115.5
10897,92.8
10935,9.8
10951,84.2
10955,125.2
10966,42.8
10972,156
10977,105.3
10980,253.9
10986,209
10988,53.5
10989,66.8
11003,53
11009,78.5
11013,109
11021,60.5
11022,118.2
11025,-55.2
11029,-41.6
11038,91.3
11041,-40.8
11055,-123.9
11056,-102.7
11057,10.2
11062,-33.2
11063,25.7
11064,-121
11066,61.2
11073,-9.1
11077,-7.8
11080,124.2
11083,67.3
11086,-120.3
11087,-31.1
11091,31.7
11094,-118.1
11095,-56.1
11099,-148.3
11106,-107.6
11107,96
11109,-140
11110,-140.9
11121,-119.5
11125,-91.8
11128,-84
11145,28.1
11146,59.2
11148,-142.3
11151,-138.4
11167,-177.2
11170,-33.9
11179,-110
11180,-12
11181,80.8
11185,100.8
11200,153.3
11210,-12.8
11222,-113.8
11229,54.5
11232,-161.5
11242,65.5
11244,181.8
11246,-17.8
11249,72.1
11263,113.5
11267,82.5
11269,216.2
11271,172.2
11274,143.5
11276,103.2
11277,101.5
11283,80.2
11286,216.5
11289,145.5
11290,91
11297,155.5
11304,18.8
11308,71
11309,131.5
11310,217.5
11320,64.5
11325,147.5
11327,74.5
11337,89
11338,156.5
11350,119.3
11353,39.3
11354,55.8
11359,228.5
11369,158.6
11370,-115
11372,30.5
11373,45.2
11380,170.5
11387,181.5
11390,56.8
11395,83.4
11397,40.2
11398,156
11399,133.3
11410,-68.8
11412,-15
11413,94.9
11417,109
11421,65.5
11424,-18
11427,48.8
11428,108.7
11429,72.7
11432,15.8
11433,37.8
11434,37
11437,8
11443,236.9
11446,109.3
11447,120.5
11449,89.7
11450,65.5
11460,80.5
11468,70.5
11472,7.7
11475,149.2
11476,147.7
11477,207
11484,114.2
11485,34.2
11488,56.5
11489,176.3
11500,56.5
11507,43.1
11509,79.2
11510,38.3
11511,5.5
11516,160.8
11517,7.8
11526,2.8
11530,23.5
11551,-118.8
11556,34
11563,187.4
11567,64.7
11571,162
11573,32.3
11576,165.5
11577,108
11580,174.3
11581,46
11582,116.3
11584,80.3
11585,111.8
11586,95.7
11587,175
11588,271
11589,112.8
11591,246
11593,147.2
11594,200.9
11595,242.8
11603,-95.8
11607,-24.3
11614,161.8
11618,133.5
11624,131
11626,147
11628,136.5
11638,87.5
11641,81.8
11650,25.2
11651,66.2
11655,-27.5
11660,-62.1
11662,112.7
11663,93
11672,225.4
11673,116
11694,111.2
11708,130.8
11723,81.5
11728,56
11729,-106
11741,-50.2
11750,7.8
11757,-127.8
11763,-62.4
11765,-27.1
11773,161.3
11776,123.5
11778,52
11781,86.5
11783,-27.2
11787,147.4
11790,-68.8
11795,104.5
11807,-109.1
11818,-75.3
11824,8.6
11830,-85.9
11832,5.9
11833,-115.2
11834,-97.9
11835,-127.2
11838,-49.1
11846,-80.2
11862,-0.8
11863,-57.3
11865,-69.8
11866,-63.5
11871,-85.8
11874,-45.2
11875,20.2
11879,-3.2
11882,-5.1
11883,5.8
11885,10
11889,4
11891,45.8
11892,21.8
11895,32.5
11897,40.2
11898,65
11899,43.8
11900,53.5
11901,56.7
11902,63.2
11903,64.8
11906,76.2
11909,16
11911,-70.1
11917,282.5
11919,-82.2
11930,-1.1
11961,76.5
11967,102
11969,64.2
11970,60.5
11971,100.6
11972,44.5
11974,180.7
11982,174.7
11998,-62.8
12010,-74.7
12011,-95
12013,43.5
12017,48.5
12018,66.3
12044,-0.1
12045,4.8
12047,47.8
12055,252.2
12057,185.7
12060,21.7
12061,-1.7
12067,-34
12071,69.2
12072,52.5
12100,71.2
12114,198.5
12144,38.2
12150,35.5
12173,99.2
12199,-96.1
12201,-153.5
12209,-132
12213,128.7
12221,-9.3
12225,143.5
12229,64.8
12230,-12.6
12236,252.7
12244,93.8
12249,35.8
12259,54.2
12263,54
12274,142.5
12275,191.8
12291,81
12307,55.3
12310,94.2
12329,-7.2
12336,66.5
12339,97.7
12355,139.5
12430,-131.8
12444,-136.8
12446,-135.9
12450,-2.1
12451,12.5
12465,38.5
12478,111.8
12480,152.5
12499,33.9
12504,55.5
12515,34.2
12523,43.8
12524,79.8
12549,156.2
12586,65.5
12640,53.5
12667,80
12669,72.9
12670,176.2
12674,5.8
12675,65.5
12680,174.8
12681,75.5
12690,60.5
12691,44.8
12696,82.7
12697,42.2
12722,66.8
12807,-74.8
12809,-66.1
12810,-51.2
12814,-23.7
12818,45.4
12821,80.4
12822,84.3
12823,71.8
12829,-63
12830,72
12831,-2.5
12840,58.5
12858,139
12861,61
12864,114.5
12874,104.3
12924,-78
12941,-3.3
12972,14.8
12977,-63.4
13013,48.5
13029,57
13032,-49.8
13033,42.4
13036,138.5
13038,-84.2
13040,-67
13048,148.2
13063,-7.4
13066,99.5
13073,89.8
13075,119
13090,70.7
13105,190.2
13133,134.2
13153,159.5
13220,106.5
13231,-62.5
13248,-31.2
13249,52.4
13254,44.8
13257,184.5
13258,38.5
13262,133
13272,55.5
13323,95
13329,22.2
13352,147
13400,-91
13402,-33
13420,65.5
13421,-122.2
13422,97.2
13438,6.2
13439,-66.8
13448,-12.8
13450,-103
13451,-54.6
13471,-60.2
13473,-63.8
13476,142.5
13490,78.5
13493,101.8
13619,-25.9
13622,-12.5
13626,31.8
13644,15.5
13646,111.7
13667,59.5
13668,65.5
13669,43.5
13673,-19.1
13693,184.8
13697,112.8
13699,174.5
13707,122.8
13721,70.5
13764,305.5
13777,96.8
13840,-51.3
13844,56.9
13849,30.5
13861,35.4
13909,257.5
13924,175.7
13925,106.8
13927,31.5
13959,100.5
13985,242.5
14163,53.8
14165,48.3
14205,-63
14285,207.8
14309,34.5
14340,48.5
14346,156.5
14348,55.7
14349,-20
14360,68.2
14390,55.5
14413,90.2
14414,64
14430,248.7
14436,40.2
14507,26.5
14512,-101.8
14530,5.8
14559,60.7
14560,162.8
14582,61.8
14584,236.3
14585,113.2
14608,32.2
14609,76.2
14613,116.7
14672,-108.9
14679,-69.9
14686,-138.2
14688,131.5
14690,73.5
14729,-84
14751,-111.2
14752,-95
14753,-75.7
14760,221.5
14787,12.2
14810,194.5
14830,-96.8
14836,77.2
14840,-29.9
14869,165
14888,-53.8
14890,17.5
14893,-160.9
14916,165
14918,59.2
14942,-1.8
14948,71
14952,160.2
14956,37
14960,243.5
14966,-126.1
14979,152.8
14991,42
15010,70.2
15016,53.9
15020,48.2
15088,221.3
15089,118.8
15092,78.6
15093,105.2
15105,93.6
15113,-73
15117,25.7
15161,83.8
15209,140.9
15216,103.2
15221,-102
15244,108.2
15308,201.2
15310,31.7
15317,59.2
15359,198.2
15403,240.5
15410,14.2
15418,95.3
15420,82
15431,6.4
15432,-52.8
15435,69.5
15438,-117.2
15440,55.2
15443,34.8
15468,-74
15471,59.5
15474,149.2
15480,-16.1
15484,305.9
15488,17
15489,78.4
15494,1.5
15517,131.2
15521,170.4
15526,39.5
15532,-74.2
15596,61
15603,11.2
15622,45.5
15636,29.5
15644,7.8
15663,118.8
15683,194.8
15702,163.8
15708,32.8
15724,125.2
15753,182
15794,-124
15796,152.7
15846,-34.1
15886,58.2
15968,317.5
15983,193.5
15998,117.5
16011,64.4
16094,66.5
16095,87
16096,90.8
16109,51.8
16208,95.5
16237,65.5
16257,101.5
16268,-39.2
16310,102
16358,138.5
16359,166.5
16377,1.5
16383,-83.9
16486,-30.9
16612,154
16644,95.2
16685,34
16689,-130.1
16887,-16.1
16896,56.2
16913,31
16931,97.8
16951,38.8
17019,20
17097,181.5
17162,141.5
17163,42.5
17221,17
17347,86.5
17383,12.8
17428,4.8
17440,227
17474,-40.8
17481,-41.1
17558,-80.1
17687,79.5
17704,266.5
17720,40.5
17801,-134.2
17879,28.8
17976,-105.8
17987,155.5
18107,99.5
18177,258.7
18227,96.5
18409,148.8
18604,-111.2
18685,46.4
18688,-89.8
18707,49.8
18708,170
18716,182.8
18792,-127.2
18799,131.5
18801,56.5
18924,43.5
18983,81.5
19037,34.5
19099,358.5
19100,-48.1
19108,-0.9
19110,-57.8
19231,21.5
19331,113.7
19526,83
19663,237.3
19669,62.5
19739,102.2
19816,28.5
19862,77.5
20124,13.6
20140,7.1
20151,51.2
20160,227
20277,221.5
20311,74.5
20521,-30.5
20548,45.2
20732,181.5
20861,167
20971,29.2
21069,56.8
21073,-102.9
21153,20.3
21185,227.5
21272,119.3
21278,35.9
21349,105.5
21360,179.5
21394,53.4
21723,11.2
21733,34
21844,80.3
21865,39.2
21896,-49
21965,87.8
21997,24.5
21998,-115
22006,83.8
22012,10.5
22739,92.2
23083,87.6
23422,124
23472,63.8
23643,14.5
23718,-118.2
24133,64.8
24142,-3.6
24341,270.2
24438,161.5
24499,8
24584,170.2
24633,200.7
24634,-74.2
24722,162.5
24729,69.7
24905,71
25097,60.5
25119,23.5
25276,97.5
25604,106.5
25605,76.2
25609,-87.8
25757,60.8
25942,57.2
25957,95.5
25968,47.7
26031,72.8
26065,-116.9
26066,-113.2
26068,-99.2
26070,-102
26072,-143.9
26091,16.8
26691,55.5
26799,71
26801,-13.8
27057,203.3
27183,71.7
27486,155
27488,64
27749,126.8
28425,121.3
28714,92.2
28777,-21
28829,123.7
28947,153.5
28952,40.8
28973,65.2
28982,44.6
29000,-117.1
29002,49
29015,11.9
29023,12.2
29024,18.5
29025,-81.8
29026,-45.5
29031,22.2
29036,-21.3
29054,251.7
29080,27.3
29090,-79.7
29091,148.2
29101,-35.9
29117,128.2
29129,149
29135,37.5
29150,265.5
29156,269.2
29343,164.3
30349,-37
30913,32.2
31016,-89.9
31029,-101.1
31082,-41.1
31144,208.8
31264,69.5
31872,156.2
31931,5.3
32002,88.8
32882,65.3
33137,27.5
33621,40.7
34095,73
34195,206
37466,10.8
38123,163.5
38364,59
39404,79.2
46739,53.3
48119,114.5
48922,196.5
49895,169.5
53706,64.5
54970,95.8
55085,-22.2
55090,-73.4
55110,0.2
55123,-62.8
55194,100.8
55242,39.2
55806,51
56139,114.3
56177,232.2
56234,73.2
56797,217.8
57727,148.2
58331,81.5
58333,-4.5
58489,185.5
58563,161.2
58568,119.5
58578,92.8
58587,219.8
58910,154.2
58968,220.2
59020,53.5
59146,102.5
59164,83.5
59403,57.5
59426,12.2
59433,101.2
59438,28.5
59439,74
59462,-3.8
59482,-9.2
59487,82.5
59489,96.8
59493,236.8
59526,24.8
59546,75.4
59556,42.2
59562,73.5
59607,-29.2
59691,47
59885,16.2
59892,82
59928,66
59971,283.2
59976,92.2
60006,71.8
60012,17.2
60032,94.5
60047,69.5
60090,226.7
60092,51
60093,63.4
60100,106.3
60103,12.8
60108,117
60121,27.5
60129,82.5
60136,30.8
60158,125.5
60173,127
60188,145.5
60191,218
60259,61.5
60263,100.8
60308,224.7
60340,-34.8
60357,102.5
60462,40.3
60464,62.8
60497,65.5
60518,172.2
60524,61.5
60586,20.4
60596,56.5
60631,114
60662,67.8
60839,23.7
60848,61.6
60886,87.2
60889,3.8
60900,73.7
60919,73.5
60933,152.5
60937,44.5
61014,77.5
61026,-73.8
61036,72.8
61086,-11.8
61087,96.8
61101,15.2
61148,78.8
61150,117
61190,-41.8
61196,9.5
61199,104.6
61200,-35.2
61257,-129
61264,159
61266,67.5
61273,45.7
61279,117
61280,26.5
61281,53.1
61311,1.8
61352,275.2
61354,184
61381,64.8
61383,37.5
61388,69.3
61399,82.5
61418,37.2
61428,32.5
61434,25.5
61471,42.2
61475,46.5
61517,148.5
61540,181.5
61542,70.8
61553,38.5
61560,254.7
61561,118.5
61569,58.2
61577,247.5
61585,87.5
61594,79.2
61599,96.2
61632,-133.2
61672,116.2
61707,128.3
61717,101.8
61739,181.2
61749,115.8
61759,51.8
61763,61.2
61765,5.2
61785,2.1
61789,-6.2
61790,41
61797,10.4
61802,62.5
61810,77.5
62098,238.3
62181,152.5
62217,223.5
62226,72.8
62236,44.5
62241,-89.8
62252,158
62265,211
62289,59
62303,109
62307,234.5
62314,11.1
62328,142.7
62332,51.2
62338,162.5
62340,29
62357,202
62359,-0.2
62361,61.8
62362,198.7
62363,95.2
62368,63
62372,36.5
62381,187.6
62389,85.5
62390,71
62402,8.8
62423,177.5
62433,-110.9
62453,37
62466,95.3
62467,135.5
62468,93
62471,54.2
62472,78.8
62477,232
62479,31.2
62483,51.5
62484,114.9
62485,161.3
62486,94.8
62493,151.5
62501,4.9
62525,127.5
62532,150.5
62536,95.7
62546,179.2
62577,41.2
62581,76
62582,57.7
62583,33.5
62618,12.5
62628,61.5
62631,56
62633,24.8
62645,224.5
62656,57
62663,118.7
62668,190
62682,136.5
62698,105
62737,28.4
62751,147.5
62754,270.7
62756,90.5
62795,148.6
62877,51
62884,191.5
62914,89.5
62928,97.3
62931,31.5
62933,100
62938,6.8
62963,60.5
62965,52.2
62966,116.3
63002,1.8
63017,-60.8
63026,-90.2
63057,16
63077,2.2
63117,42.7
63119,153.4
63122,95.8
63180,89.5
63208,40.5
63211,120.3
